Duration_1,CritPres2D,Tran_main,WL,GRPCODE,GDO_GID,InsigSum1A,WTR,criticality_model,Ex_Hi_2031,Hosp_Serv,INFRA_STAT,Active_Ope,HANSEN_COM,MI_SCR,STANDARD_CONFOR,CRITICAL_SCR,Remove_Seg,RiskThresh,FID,TRANS,InsigSum,BRKS_FVYRS,C06_Cost,NPA,LowSum1A,LowSum,MAXRISK,DIAMETER,Dia_x_lenO,FLP,Hospital,PCU,Priority,Source,TOT_RES,HL,ST_CLASS,HDL,MATERIAL,Dia_x_len,SumCost,Demand_Met,C08_Cost,CAM_CATEG1,HEAD_LOSS_SCR,Maintenance_Cost,School,C07_Cost,Age,Med_Centre,OPSC_TEXT,DNMMLD,Shape *,OBJECTID_1,MI,DSC_TEXT,Shape_Le_1,Crit_Rests,CritConsSc,PCScore,FRM_NODE,MedSum,Pres_Zone,HighSum,RSL_SCR,WPZ,SOGR_HANSN,INST_YR,MAFIP,WM_WATERMA,DCSDesc,New_Seg,PCSDesc,Mat_Fact,HWY,ENVMT_SCR,TotBrks,HEU,Group_Mat,OBJECTID,DNM, Normalized Quality - test result Score,Operation_Cost,TotBrks_Lenght,R,QUALIT_SCR,Shape_Leng,GISIDForm,WM_WATERM1,A2031,WM_WATERM2,DIA_SCR,OID_,SEVERITY,f,DCS,TOTCNSQS,RWY,TOT_LV,SOIL,INSTALL_DA,MATERIAL_CD,ST_DIR,MaxTOTRISK,ACCESS_SCR,DURATION,LT_CARE,Airp_Serv,BRKS_FVYRS_SCR,REPLC_COST,TM,BRKS_FV_YRS_L,DCScore,TO_NODE,LEN_M,INSTDATE,DSC_NUM,BRK_SCR,HPU,SCORE,ExtSum,GISID,ESA,YR_INSTALL,Shape_Le_2,ST_NAME,RSL,CITY,ST_TYPE,OPSC,Adj_Length,OPSC_NUM,condition_model,DRAINAGE,Grp_C_Risk
0,38.3,NO,0,E44,3372,455000,0,5, ,0,A,YES,510595,15,15,636.25,NO,Moderate,3437,0,0,14,625000,14.378056,0,0,100,600, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.0170318529,ARTERIAL,0,CPP, ,905000,0,5000,TRSUB-TRANSMISSION MAIN,15,301.6381795,1,275000,36,0,(Low),5176.100098,Polyline,2149,0.2406311146,(Negligible),23.952695,Fail (Pressure),2 (Low),2,596471,905000,Zone 5,0,5,5, ,1980,5.9923,R,(Negligible), ,(Low),1,0,0,28,0,CPP,2212,8.9783,0,211.14672565,0.0464132227,1.89242810422785E-14,0,603.276359,2216,6,Yes,  PWL,10,689,1367.380005,0.0294614908,1 (Negligible),25,0,25.450001,CL,01-01-1980,CPP,W,636.25,0,0,0,0,1,2131,No,0.0232066114,1,597513,603.276359,01-01-1980,1,15,0,636.25,0,2216,0,1980,26.53785,STEELES,36,BRAMPTON,AVE,2 (Low), ,2,5,I,E44 636.25
0,39.9,NO,0,I46,24430,455000,0,4, ,0,A,YES,698343,15,15,516.5999756,NO,Low,2189,0,0,35,175000,0.300833,0,455000,84,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.2411780448,LOCAL,0,CPP, ,455000,0,5000,TRSUB-TRANSMISSION MAIN,0,496.518944,0,275000,50,0,(Low),108.300003,Polyline,732,0.5355851553,(Negligible),674.29704,Fail (Pressure),2 (Low),2,607030,0,Zone 4,0,0,4, ,1966,4.4451,R,(Negligible), ,(Low),1,0,15,162,0,CPP,1301,7.6021,0,347.5632608,0.1631357695,2.67975605377573E-13,0,993.037888,1303,4,Yes,  PWL,5,238,28.6098,0.0333752697,1 (Negligible),21,0,24.6,C,01-01-1966,CPP, ,516.599976,0,0,0,0,1,1576,No,0.0352453823,1,6538244,993.037888,01-01-1966,1,15,0,516.5999756,0,1303,1,1966,310.896543,GOREWAY,50,MISSISSAUGA,DR,2 (Low), ,2,5,P,I46 516.599975586
0,15.5,NO,0,M28,30811,332500,0,4, ,0,A,YES,765209,15,0,553,NO,Moderate,2671,0,0,6,625000,1418.751667,0,0,105,750, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.0119394311,COLLECTOR,0,CPP, ,905000,0,5000,TRSUB-TRANSMISSION MAIN,15,688.95211,0,275000,9,0,(Catastrophic),510751,Polyline,2976,0.5419799107,(Negligible),10.122965,Fail (Pressure),5 (Catastrophic),5,6566010,905000,Zone 5,0,15,5, ,2007,7.7471,R,(Negligible), ,(Catastrophic),1,0,0,21,0,CPP,2984,11.8709,0,482.266477,0.0152405368,1.32660345857946E-14,0,1377.90422,2989,7,Yes,  PWL,5,905,134926,0.0275945805,1 (Negligible),28,0,19.75,C,01-08-2007,CPP, ,553,0,0,0,0,1,2161,Yes,0.0043544391,1,6566012,1377.90422,01-08-2007,1,10,0,553,0,2989,0,2007,10.122965,CASTLEMORE,9,BRAMPTON,RD,5 (Catastrophic), ,5,0,I,M28 553
0,36.8,NO,0,N08,19979,455000,0,4, ,0,A,YES,645193,15,0,534.4499512,NO,Moderate,554,0,0,20,175000,26.061111,0,0,84,600, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.0378263275,COLLECTOR,0,CPP, ,455000,0,5000,TRSUB-TRANSMISSION MAIN,15,669.913286,0,275000,37,0,(Low),9382,Polyline,2269,0.5344216735,(Negligible),6.605836,Fail (Pressure),2 (Low),2,594255,455000,Zone 4,0,5,4, ,1979,18.2449,R,(Negligible), ,(Low),1,0,0,88,0,CPP,2523,7.4537,0,468.9393002,0.0656801424,4.20292527929818E-14,0,1339.826572,2527,6,Yes,  PWL,10,962,2478.459961,0.0294614908,1 (Negligible),21,0,25.450001,CL,01-02-1979,CPP, ,534.449951,0,0,0,0,1,2131,No,0.0149273051,1,6500125,1339.826572,01-02-1979,1,15,0,534.4499512,0,2527,0,1979,342.81919,MILLCREEK,37,MISSISSAUGA,DR,2 (Low), ,2,5,I,N08 534.449951172
10000000,39.7,YES,0,G33,13928,1257500,0,6, ,0,A,YES,523941,15,0,801,NO,High,2783,1,0,0,625000,22.339167,0,0,144,1500, ,0,0,360,71,RATRANSMISSION MAIN,473000000000,0.0002902386,ARTERIAL,0,TMCPP, ,1880000,10000000,5000,RATRANSMISSION MAIN,15,648.5141255,0,1250000,29,0,(Catastrophic) - Not Balanced,8042.100098,Polyline,3348,0.4349009915,(Catastrophic) - Not Balanced,1297.028251,Fail (Pressure),2 (Low),5,608362,0,Zone 3,1880000,0,3, ,1987,346.8898,R,(Catastrophic) - Not Balanced, ,(Catastrophic) - Not Balanced,1,1,0,8,0,CPP,3356,228.314,0,453.95988785,0.0061679458,3.22487323550159E-16,0,1297.028251,3369,15,Yes,  PWL_,15,169,2124.5,0.0228042027,1 (Negligible),36,0,22.25,C,01-01-1987,CPP, ,801,15,10000000,0,0,1,2535,Yes,0,5,607292,1297.028251,01-01-1987,5,0,0,801,0,3369,0,1987,1297.028251,TOMKEN,29,MISSISSAUGA,RD,2 (Low), ,5,0,I,G33 801
0,38.3,NO,0,P52,9859,905000,0,4, ,0,A,YES,518636,15,15,509.2499695,NO,Low,186,0,0,63,175000,12.526389,0,455000,84,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.1872569228,COLLECTOR,0,CPP, ,455000,0,5000,TRSUB-TRANSMISSION MAIN,0,385.510255,0,275000,28,0,(Low),4509.5,Polyline,789,0.4158422801,(Negligible),75.225248,Fail (Pressure),2 (Low),2,603531,0,Zone 3,0,10,3, ,1988,2.1262,R,(Negligible), ,(Low),1,0,15,192,0,CPP,789,3.0043,0,269.8571785,0.249020613,2.0806324755836E-13,0,771.02051,791,4,Yes,  PWL,5,257,1191.280029,0.0333752697,1 (Negligible),21,0,24.25,CL,01-01-1988,CPP, ,509.24997,0,0,0,0,1,1576,No,0.0817098886,1,603554,771.02051,01-01-1988,1,15,0,509.2499695,0,791,1,1988,75.225248,RIDGEWAY,28,MISSISSAUGA,DR,2 (Low), ,2,5,W,P52 509.249969481999
0,38.6,NO,0,H19,25503,2255000,0,6, ,0,A,YES,703788,15,15,796.6000366,NO,High,2501,0,0,48,625000,10.794444,0,0,140,500, ,0,0,360,75,TRSUB-TRANSMISSION MAIN,0,0.0155354561,COLLECTOR,1,CPP, ,2250000,0,375000,TRSUB-TRANSMISSION MAIN,0,104.6408205,0,1250000,54,0,(Low),3886,Polyline,2052,0.2153624635,(Negligible),7.264024,Fail (Pressure),2 (Low),2,6542967,0,Zone 5,2250000,0,5, ,1962,3.5859,R,(Negligible), ,(Low),1,0,0,180,1,CPP,2062,5.3529,0,73.24857435,0.860084999,1.7261617884736E-14,0,209.281641,2066,5,Yes,  PWL,10,97,1026.569946,0.0311311937,1 (Negligible),28,0,28.450001,C,01-01-1962,CPP,S,796.600037,10,0,0,0,1,826,No,0.2293559997,1,596863,209.281641,01-01-1962,1,15,0,796.6000366,0,2066,0,1962,10.348193,RUTHERFORD,54,BRAMPTON,RD,2 (Low), ,2,5,I,H19 796.600036620999
0,38.3,NO,0,R29,12298,2375000,0,4, ,0,A,YES,521947,15,15,579.5999756,NO,Moderate,1288,0,0,8,2500,7.424444,0,0,105,400, ,0,0,360,0,TRSUB-TRANSMISSION MAIN,0,0.2043837235,LOCAL,0,CPP, ,1257500,0,5000,TRSUB-TRANSMISSION MAIN,0,420.7696045,0,1250000,49,0,(Low),2672.800049,Polyline,900,0.4538758424,(Negligible),251.510021,Fail (Pressure),2 (Low),2,604409,1257500,Zone 2,0,5,2, ,1967,3.3746,R,(Negligible), ,(Low),1,0,15,43,0,CPP,898,3.6996,0,294.53872315,0.0510968468,2.27093026062606E-13,0,841.539209,900,4,Yes,  PWL,5,844,706.078979,0.0333752697,1 (Negligible),21,1,27.6,CL,01-01-1967,CPP, ,579.599976,15,0,0,0,1,1576,No,0.0095063901,1,604629,841.539209,01-01-1967,1,10,0,579.5999756,0,900,1,1967,122.123364,DIXIE,49,MISSISSAUGA,RD,2 (Low), ,2,5,P,R29 579.599975586
0.3,n/a - flow failure,NO,0,K47,29368,455000,1,4, ,0,A,YES,746352,15,15,607.6000366,NO,Moderate,407,0,0,103,175000,21.978889,0,0,105,400, ,1,0,360,0,TRSUB-TRANSMISSION MAIN,13607.40039,0.230110861,LOCAL,0,CPP, ,455000,4447.4,5000,TRSUB-TRANSMISSION MAIN,0,473.734671,0,275000,16,0,(Catastrophic) - Flow Failure,7912.399902,Polyline,1559,0.5110082111,(Negligible),190.444364,Fail (Flow),5 (Catastrophic) - Flow Failure,5,6529284,455000,Zone 5,0,10,5, ,2000,0.3325,R,(Negligible), ,(Catastrophic) - Flow Failure,1,0,15,108,0,CPP,1567,2.2273,0,331.6142697,0.1139878571,2.55678734484641E-13,0,947.469342,1569,4,Yes,  PWL,5,1151,2090.229981,0.0333752697,1 (Negligible),28,0,21.700001,C,01-05-2000,CPP,W,607.600037,15,0.3,0,0,1,1576,No,0.1087106415,1,6562512,947.469342,01-05-2000,1,15,0,607.6000366,0,1569,0,2000,190.444364,DERRY,16,MISSISSAUGA,RD,5 (Catastrophic) - Flow Failure, ,5,0,I,K47 607.600036620999
0,38.4,NO,0,X63,1374,905000,0,3, ,0,A,YES,507874,15,0,426.2999878,NO,Low,3883,0,0,18,175000,13.098056,0,455000,78.75,300, ,0,0,360,0,LAKE_BASED_WATERMAIN,0,1.280672136,ARTERIAL,0,DI, ,455000,0,5000,ISDISTRIBUTION MAIN - SMALL DIAMETE,0,569.836639,0,275000,47,0,(Low),4715.299805,Polyline,3865,0.8272607056,(Negligible),22.531955,Fail (Pressure),2 (Low),2,597308,0,Zone 5,0,10,5, ,1969,2.2556,R,(Negligible), ,(Low),0.5,0,0,29,0,DI,4072,2.2354,0,398.8856473,0.0254458892,1.42296903996453E-12,0,1139.673278,4124,3,Yes,  PWL,5,1241,1245.650024,0.0366451703,1 (Negligible),21,0,20.299999,CL,1/0/1900 0:00,DI, ,426.299988,0,0,0,0,1,1171,No,0.0157940002,1,599256,1139.673278,1/0/1900 0:00,1,15,0,426.2999878,0,4124,0,1969,87.434613,QUEEN ST E,24,BRAMPTON, ,2 (Low), ,2,5,I,X63 426.299987793
