FID,MITIGATION_Level_PAN,mitigation_model_pred
2689,2.0,2.0
2999,2.0,2.0
3729,2.0,2.0
1341,2.0,2.0
2534,2.0,2.0
4101,2.0,2.0
1623,3.0,3.0
1740,3.0,3.0
458,2.0,2.0
3073,2.0,1.0
2742,2.0,2.0
1541,2.0,2.0
2563,2.0,2.0
1503,1.0,1.0
3209,1.0,1.0
3067,1.0,1.0
1949,3.0,2.0
2464,1.0,1.0
1437,2.0,2.0
2593,2.0,2.0
2365,2.0,2.0
632,3.0,3.0
3499,2.0,3.0
2382,1.0,1.0
762,2.0,2.0
1477,2.0,2.0
672,3.0,3.0
309,1.0,1.0
1191,2.0,2.0
895,2.0,2.0
518,3.0,3.0
2942,2.0,2.0
2369,2.0,2.0
645,3.0,3.0
2584,2.0,2.0
2413,2.0,2.0
1845,3.0,3.0
103,1.0,1.0
2394,2.0,2.0
3337,1.0,1.0
2639,2.0,2.0
1855,3.0,3.0
2932,2.0,2.0
827,3.0,3.0
2428,2.0,2.0
696,3.0,3.0
1000,3.0,3.0
3234,1.0,1.0
971,3.0,2.0
3251,2.0,2.0
1486,1.0,1.0
2257,2.0,2.0
3252,2.0,2.0
1607,2.0,2.0
1364,2.0,2.0
2662,2.0,2.0
3903,2.0,2.0
1644,3.0,3.0
3101,1.0,1.0
1492,2.0,2.0
3477,3.0,3.0
1660,3.0,3.0
2711,2.0,2.0
500,2.0,2.0
1489,1.0,1.0
3133,1.0,1.0
2248,2.0,2.0
2289,1.0,1.0
3606,2.0,2.0
1745,3.0,3.0
366,1.0,1.0
1843,3.0,3.0
4055,2.0,2.0
4002,2.0,1.0
1532,1.0,1.0
2297,1.0,1.0
1157,2.0,2.0
661,3.0,3.0
3388,1.0,1.0
3596,2.0,3.0
1235,2.0,2.0
3535,2.0,2.0
621,3.0,3.0
2686,2.0,2.0
1147,2.0,2.0
1363,2.0,2.0
2498,2.0,2.0
368,1.0,1.0
2831,2.0,2.0
4046,3.0,3.0
1265,2.0,2.0
1416,2.0,2.0
1688,3.0,3.0
3635,2.0,2.0
2818,2.0,2.0
3556,2.0,2.0
2592,2.0,2.0
3320,1.0,1.0
1476,2.0,2.0
580,3.0,3.0
1004,2.0,2.0
493,1.0,1.0
2049,2.0,1.0
1331,2.0,2.0
2701,2.0,2.0
2377,2.0,2.0
1666,3.0,3.0
1256,2.0,2.0
1587,2.0,2.0
3365,2.0,2.0
3178,2.0,2.0
1391,2.0,2.0
3675,2.0,1.0
3758,2.0,2.0
2258,2.0,2.0
1789,3.0,3.0
2988,2.0,2.0
2389,2.0,2.0
1207,3.0,3.0
2484,2.0,2.0
670,3.0,3.0
137,1.0,1.0
3417,3.0,3.0
1964,2.0,2.0
3381,1.0,1.0
3455,2.0,3.0
1880,3.0,3.0
1451,2.0,2.0
1811,3.0,3.0
2650,2.0,2.0
2492,2.0,2.0
851,3.0,3.0
3065,2.0,2.0
189,2.0,2.0
2063,1.0,1.0
1251,2.0,2.0
1952,2.0,2.0
2117,2.0,2.0
3746,2.0,2.0
1433,1.0,1.0
3043,2.0,2.0
1263,2.0,2.0
4033,2.0,1.0
2864,2.0,2.0
3510,2.0,3.0
1892,2.0,2.0
2172,2.0,2.0
926,3.0,3.0
2276,1.0,1.0
3777,2.0,2.0
2875,2.0,2.0
98,1.0,1.0
557,2.0,2.0
819,2.0,2.0
3291,1.0,1.0
3918,2.0,1.0
2190,2.0,1.0
3217,2.0,2.0
2835,2.0,1.0
826,3.0,3.0
1552,2.0,2.0
3756,2.0,2.0
3205,1.0,1.0
174,2.0,2.0
1905,3.0,3.0
3904,2.0,1.0
1123,3.0,2.0
2813,2.0,2.0
539,3.0,3.0
1120,3.0,3.0
2906,2.0,2.0
862,2.0,2.0
3975,2.0,2.0
1129,3.0,2.0
3411,2.0,2.0
1732,3.0,3.0
280,1.0,1.0
3243,2.0,2.0
2654,2.0,2.0
914,2.0,1.0
3533,2.0,2.0
1469,2.0,2.0
1989,2.0,2.0
1352,2.0,2.0
198,2.0,2.0
3737,2.0,2.0
217,1.0,1.0
2463,1.0,1.0
1657,3.0,3.0
3539,2.0,2.0
3503,2.0,3.0
2724,3.0,3.0
1221,2.0,2.0
3199,2.0,2.0
1615,2.0,2.0
57,2.0,2.0
3483,2.0,3.0
2226,2.0,2.0
381,1.0,1.0
2260,2.0,2.0
1569,2.0,2.0
1742,3.0,3.0
2997,3.0,3.0
638,3.0,3.0
1955,1.0,2.0
212,1.0,1.0
3197,1.0,1.0
2567,2.0,3.0
663,3.0,3.0
1366,2.0,2.0
905,2.0,2.0
2035,2.0,2.0
765,3.0,3.0
3651,2.0,2.0
3843,1.0,1.0
1882,3.0,3.0
3997,2.0,2.0
1695,2.0,3.0
2315,1.0,1.0
1671,2.0,3.0
1536,1.0,1.0
3619,2.0,2.0
1787,3.0,3.0
3163,2.0,2.0
3608,2.0,3.0
1028,2.0,2.0
4038,2.0,2.0
3868,2.0,2.0
715,3.0,3.0
1877,3.0,3.0
3544,1.0,2.0
1133,3.0,2.0
68,2.0,2.0
3339,1.0,1.0
425,2.0,2.0
654,3.0,3.0
2072,2.0,1.0
3227,1.0,1.0
2912,2.0,2.0
1770,3.0,3.0
2471,2.0,2.0
2638,3.0,3.0
1550,2.0,2.0
2223,2.0,2.0
1392,2.0,2.0
1368,2.0,2.0
2598,2.0,2.0
996,2.0,1.0
74,2.0,2.0
1359,2.0,2.0
1343,2.0,2.0
3230,1.0,1.0
1385,1.0,1.0
39,3.0,2.0
210,1.0,1.0
449,1.0,1.0
3368,1.0,1.0
41,3.0,2.0
2082,2.0,2.0
2154,1.0,1.0
875,3.0,3.0
3571,2.0,2.0
2510,2.0,2.0
1663,3.0,3.0
3624,2.0,2.0
1842,3.0,3.0
2449,1.0,1.0
1296,2.0,2.0
703,2.0,2.0
976,3.0,2.0
2138,2.0,2.0
3459,2.0,2.0
3705,2.0,2.0
3517,2.0,3.0
4065,2.0,2.0
770,3.0,3.0
1691,3.0,3.0
3079,1.0,1.0
92,2.0,2.0
4003,2.0,2.0
1007,2.0,2.0
1082,3.0,2.0
1272,2.0,2.0
222,2.0,2.0
630,3.0,3.0
1637,3.0,3.0
1783,3.0,3.0
1247,2.0,2.0
3732,2.0,2.0
1976,2.0,2.0
3832,2.0,2.0
1805,3.0,3.0
2601,2.0,2.0
2225,2.0,2.0
2524,2.0,2.0
1062,3.0,3.0
201,2.0,2.0
1009,2.0,2.0
128,1.0,1.0
1008,2.0,2.0
890,3.0,3.0
2147,1.0,1.0
1248,2.0,2.0
1262,2.0,2.0
3763,2.0,2.0
1920,3.0,3.0
1372,2.0,2.0
164,2.0,2.0
2495,2.0,1.0
435,2.0,2.0
3661,2.0,2.0
3730,2.0,2.0
1649,3.0,3.0
3859,2.0,2.0
790,2.0,2.0
3042,1.0,1.0
3924,1.0,1.0
288,2.0,2.0
2077,2.0,2.0
1154,2.0,2.0
3944,2.0,1.0
588,3.0,3.0
1381,2.0,2.0
91,1.0,1.0
985,2.0,2.0
777,3.0,3.0
2381,2.0,2.0
801,2.0,2.0
1464,2.0,2.0
319,1.0,1.0
190,2.0,2.0
109,1.0,1.0
2020,2.0,1.0
292,2.0,2.0
531,3.0,3.0
2251,2.0,1.0
2241,2.0,2.0
3474,2.0,2.0
322,1.0,1.0
1997,2.0,2.0
2163,2.0,2.0
1813,3.0,3.0
1602,2.0,2.0
577,3.0,3.0
2561,2.0,3.0
1891,3.0,3.0
330,1.0,1.0
1516,2.0,2.0
3887,2.0,2.0
3953,2.0,1.0
2599,2.0,3.0
3623,3.0,3.0
93,2.0,2.0
2501,2.0,2.0
3175,2.0,2.0
304,1.0,1.0
2917,2.0,2.0
1768,2.0,2.0
1494,2.0,2.0
2104,1.0,1.0
3064,1.0,1.0
3030,2.0,2.0
1799,3.0,3.0
2199,2.0,2.0
581,3.0,3.0
4077,2.0,2.0
3021,1.0,1.0
1956,3.0,2.0
2957,2.0,2.0
3106,2.0,1.0
3158,1.0,1.0
902,2.0,3.0
1399,2.0,2.0
1244,2.0,2.0
3841,2.0,3.0
3397,1.0,1.0
3736,2.0,2.0
642,3.0,3.0
3122,1.0,1.0
3812,2.0,3.0
512,3.0,3.0
3878,2.0,2.0
3014,2.0,1.0
1220,2.0,2.0
3913,2.0,1.0
1057,3.0,3.0
1121,3.0,2.0
4060,2.0,2.0
247,2.0,2.0
317,1.0,1.0
2547,2.0,2.0
1829,3.0,3.0
597,3.0,3.0
1619,2.0,2.0
1943,2.0,2.0
2411,2.0,2.0
3973,2.0,2.0
2851,2.0,2.0
2367,2.0,2.0
3238,2.0,2.0
2209,2.0,2.0
156,2.0,2.0
1680,3.0,3.0
154,1.0,1.0
1861,3.0,3.0
3153,1.0,1.0
1308,2.0,2.0
562,2.0,2.0
3037,2.0,2.0
3247,2.0,2.0
1465,2.0,2.0
676,1.0,2.0
2850,2.0,2.0
3774,2.0,2.0
3344,2.0,2.0
3719,2.0,3.0
277,2.0,2.0
1635,3.0,3.0
1336,2.0,2.0
1971,2.0,2.0
4089,2.0,2.0
2125,1.0,1.0
2421,1.0,1.0
1071,3.0,2.0
2392,2.0,2.0
2793,3.0,3.0
430,1.0,1.0
2370,1.0,1.0
2340,2.0,2.0
586,3.0,3.0
3002,2.0,2.0
1195,2.0,2.0
1255,2.0,2.0
2016,2.0,1.0
2162,2.0,2.0
2443,1.0,1.0
3360,2.0,2.0
1642,3.0,3.0
3877,2.0,2.0
3862,2.0,2.0
2341,2.0,2.0
3531,3.0,3.0
992,2.0,2.0
3258,1.0,1.0
3681,2.0,2.0
805,3.0,3.0
2399,2.0,2.0
3284,2.0,2.0
1612,2.0,2.0
53,2.0,2.0
2146,1.0,1.0
3636,2.0,2.0
3435,2.0,3.0
12,2.0,2.0
2985,2.0,2.0
3191,2.0,2.0
2353,2.0,2.0
2186,1.0,1.0
2404,2.0,2.0
232,2.0,2.0
1656,3.0,3.0
3489,2.0,3.0
1145,2.0,2.0
4010,2.0,1.0
3249,2.0,2.0
2693,3.0,3.0
4102,2.0,2.0
1568,2.0,2.0
3259,1.0,1.0
893,3.0,2.0
1139,1.0,1.0
2017,1.0,1.0
945,2.0,2.0
3192,1.0,1.0
3327,2.0,2.0
788,2.0,2.0
1903,3.0,3.0
2453,2.0,2.0
3144,2.0,2.0
2395,2.0,2.0
386,1.0,1.0
842,2.0,2.0
3213,2.0,2.0
2696,3.0,3.0
1686,3.0,3.0
161,2.0,2.0
1918,3.0,3.0
1395,2.0,2.0
1143,1.0,1.0
2910,2.0,2.0
3218,2.0,2.0
3967,2.0,1.0
852,3.0,3.0
606,3.0,3.0
1108,3.0,2.0
1641,3.0,3.0
2246,2.0,2.0
2911,2.0,2.0
1024,2.0,2.0
3214,2.0,2.0
2454,1.0,1.0
4009,2.0,1.0
2620,3.0,3.0
1458,2.0,2.0
964,2.0,2.0
2183,1.0,1.0
2461,1.0,1.0
958,2.0,2.0
1369,2.0,2.0
800,2.0,2.0
3280,2.0,2.0
860,2.0,2.0
2516,2.0,2.0
3652,2.0,2.0
334,1.0,1.0
2074,2.0,1.0
131,2.0,2.0
3063,2.0,1.0
1258,2.0,2.0
1063,3.0,2.0
534,3.0,3.0
3779,2.0,2.0
1782,3.0,3.0
3611,3.0,3.0
2578,2.0,2.0
933,3.0,3.0
1269,2.0,2.0
195,2.0,2.0
1215,2.0,2.0
2497,2.0,1.0
4094,3.0,3.0
3566,2.0,2.0
659,3.0,3.0
681,2.0,2.0
242,2.0,2.0
1239,2.0,2.0
3286,2.0,2.0
1500,1.0,1.0
1962,3.0,3.0
3672,1.0,1.0
1318,2.0,2.0
3537,2.0,2.0
728,3.0,3.0
1229,2.0,2.0
3297,1.0,1.0
1837,3.0,3.0
1864,3.0,3.0
939,2.0,2.0
3283,2.0,2.0
1474,2.0,2.0
3778,2.0,2.0
2002,3.0,3.0
1548,2.0,2.0
2229,2.0,2.0
3846,2.0,1.0
1784,3.0,3.0
2823,2.0,2.0
1238,2.0,2.0
2178,1.0,1.0
3937,2.0,1.0
1048,2.0,2.0
481,2.0,2.0
1317,2.0,2.0
1373,2.0,2.0
3582,3.0,3.0
1495,2.0,2.0
1906,3.0,3.0
2750,2.0,2.0
721,3.0,3.0
870,2.0,3.0
1690,3.0,3.0
3590,3.0,3.0
1006,2.0,2.0
135,2.0,2.0
1454,2.0,2.0
1584,2.0,2.0
1922,3.0,3.0
180,2.0,2.0
758,3.0,3.0
3181,1.0,1.0
2752,2.0,2.0
1093,3.0,2.0
2065,2.0,2.0
1662,3.0,3.0
1419,2.0,2.0
3637,2.0,2.0
1627,3.0,3.0
727,3.0,3.0
2083,2.0,1.0
2862,2.0,2.0
1179,1.0,1.0
3929,2.0,1.0
734,2.0,3.0
3093,2.0,2.0
3439,3.0,3.0
2429,2.0,2.0
590,3.0,3.0
3335,1.0,1.0
1779,3.0,3.0
3308,2.0,2.0
66,2.0,2.0
743,3.0,3.0
1490,1.0,1.0
1665,3.0,3.0
962,2.0,3.0
2114,1.0,1.0
3659,2.0,3.0
3111,1.0,1.0
834,2.0,2.0
238,2.0,2.0
3176,2.0,2.0
65,1.0,1.0
3454,2.0,2.0
397,2.0,2.0
4031,2.0,2.0
3852,1.0,2.0
1526,1.0,1.0
3266,2.0,2.0
1112,3.0,3.0
1135,1.0,1.0
1606,2.0,2.0
3135,1.0,1.0
1570,2.0,2.0
2089,2.0,1.0
1862,3.0,3.0
1064,3.0,3.0
364,1.0,1.0
325,2.0,2.0
542,3.0,3.0
2861,2.0,2.0
563,2.0,2.0
887,3.0,3.0
82,1.0,1.0
4044,3.0,3.0
3401,2.0,2.0
1723,3.0,3.0
301,1.0,1.0
488,1.0,1.0
184,2.0,2.0
2644,2.0,2.0
521,3.0,3.0
3040,2.0,1.0
3869,2.0,1.0
3015,2.0,1.0
3810,3.0,3.0
3171,2.0,1.0
910,2.0,2.0
1626,3.0,3.0
