FID,Shape *,OBJECTID,HANSEN_COM,INFRA_STAT,MATERIAL,MATERIAL_CD,FRM_NODE,TO_NODE,INSTALL_DA,DIAMETER,WPZ,LEN_M,INST_YR,ST_CLASS,Source,Shape_Leng,TRANS,TotBrks,TotBrks_Lenght,BRK_SCR,BRL_SCR_TARGET,BRK_Level,BRKS_FVYRS,BRKS_FV_YRS_L,BRKS_FVYRS_SCR,BRKS_FVYRS_SCR_TARGET,BRKS_FVYRS_Level,Age,Mat_Fact,TARGET_Mat_Fact,RSL,TARGET_RSL,RSL_SCR,TARGET_RSL_SCR,RSL_Level,Operation_Cost,Maintenance_Cost,REPLC_COST,MI,MI_SCR,MI_Level,Condition_Score,TARGET_Condition_Score,Condition_Score_Level,TARGET_Condition_Score_Level,Condition_level,TARGET_Condition_level,,QUALIT_SCR,TARGET_QUALIT_SCR,DRAINAGE,SOIL,WTR,ESA,WL,FLP,HWY,RWY,HPU,HEU,Hospital,Med_Centre,LT_CARE,School,HDL,Crit_Rests,CritPres2D,CritConsSc,OPSC,STANDARD_CONFOR,f,R,HL,HEAD_LOSS_SCR,Performanc_SCR,TARGET_Performanc_SCR,Performance_Score_Level,TARGET_Performance_Score_Level,Performance_Level,TARGET_Performance_Level,,ST_NAME,ST_TYPE,ST_DIR,CITY,TM,Hosp_Serv,Airp_Serv,New_Seg,Active_Ope,Tran_main,DIA_SCR,TARGET_DIA_SCR,ENVMT_SCR,TARGET_ENVMT_SCR,ACCESS_SCR,TARGET_ACCESS_SCR,Criticality_SCR,TARGET_Criticality_SCR,Criticality_Score_Level,TARGET_Criticality_Score_Level,Criticality_Level,TARGET_Criticality_Level,,PAN,TARGET_PAN,MITIGATION_Score_Level,TARGET_MITIGATION_Score_Level,MITIGATION_Level_PAN,TARGET_MITIGATION_Level_PAN,Model_Mitigation,TARGET_Model_ Mitigation,RiskThresh
233,Polyline,608,514791,A,CPP,CPP,593710,593699,01-01-1973,400,5,1387.302618,1973,ARTERIAL,TRSUB-TRANSMISSION MAIN,1387.302618,0,33,0.0237871677,5,7.35,Low,20,0.0144164653,5,10.89,Low,44,1,0.25,31,33,5,5,Medium,485.5559163,693.651309,1576,0.748227935,15,High,240,340.336,Medium,Moderately High,3,4,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.8,2 (Low),2 (Low),0,0.0333752697,3.74E-13,0.3369326962,0,0,0,Very Low,Very Low,1,1,,MILLCREEK,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,270,392.836,DO NOTHING,RELINE - REHAB,1,2,,,Low
234,Polyline,4323,660337,A,  PVC,PVC,6418348,6518469,1/0/1900 0:00,400,4,926.743453,1994,LOCAL, ,926.743453,0,35,0.0377666547,5,7.35,Low,26,0.0280552292,5,10.89,Low,23,0.1,0.04,5.2,22.08,15,10,Very High,324.3602086,463.3717265,1576,0.499829908,15,High,320,384.836,Moderately High,Very High,4,5,,0,0,W,CL,0,0,0,0,1,0,0,0,0,0,0,0,0,Fail (Pressure),37.5,2 (Low),2 (Low),0,0.0333752697,2.50E-13,0.2250771866,0,0,0,Very Low,Very Low,1,1,,BANCROFT,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,350,437.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
235,Polyline,4323,660337,A,  PVC,PVC,6418348,6518469,1/0/1900 0:00,400,4,926.743453,1994,LOCAL, ,926.743453,0,36,0.038845702,5,7.35,Medium,28,0.0302133238,5,10.89,Medium,23,0.1,0.04,5.2,22.08,15,10,Very High,324.3602086,463.3717265,1576,0.499829908,15,High,320,384.836,Moderately High,Very High,4,5,,0,0,W,CL,0,0,0,0,1,0,0,0,0,0,0,0,0,Fail (Pressure),37.5,2 (Low),2 (Low),0,0.0333752697,2.50E-13,0.2250771866,0,0,0,Very Low,Very Low,1,1,,BANCROFT,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,350,437.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
236,Polyline,589,514320,A,CPP,CPP,594163,594198,01-01-1980,400,4,587.723559,1980,LOCAL,TRSUB-TRANSMISSION MAIN,587.723559,0,35,0.0595518071,5,7.35,Medium,3,0.0051044406,5,10.89,Medium,37,1,0.25,38,27.75,5,10,Medium,205.7032457,293.8617795,1576,0.316982884,15,High,240,384.836,Medium,Very High,3,5,,0,0,W,CL,1,0,0,1,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,1.59E-13,0.1427397893,0,150,105,Moderately Low,Moderately Low,2,2,,CREDITVIEW,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,542.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
237,Polyline,589,514320,A,CPP,CPP,594163,594198,01-01-1980,400,4,587.723559,1980,LOCAL,TRSUB-TRANSMISSION MAIN,587.723559,0,36,0.0612532873,5,7.35,Medium,27,0.0459399655,5,10.89,Low,37,1,0.25,38,27.75,5,10,Medium,205.7032457,293.8617795,1576,0.316982884,15,High,240,384.836,Medium,Very High,3,5,,0,0,W,CL,1,0,0,1,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,1.59E-13,0.1427397893,0,150,105,Moderately Low,Moderately Low,2,2,,CREDITVIEW,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,542.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
238,Polyline,232,744929,A,DI,DI,6561905,607058,02-01-1979,400,4,428.991201,2014,ARTERIAL,TRSUB-TRANSMISSION MAIN,428.991201,0,11,0.0256415516,5,7.35,Medium,6,0.0139863009,5,10.89,Medium,3,0.5,0.26,36,2.22,5,15,Medium,150.1469204,214.4956005,1576,0.231372158,15,High,240,429.336,Medium,Very High,3,5,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.3,2 (Low),2 (Low),15,0.0333752697,1.16E-13,0.104188632,0,150,105,Moderately Low,Moderately Low,2,2,,ERIN MILLS,PKWY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,586.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
239,Polyline,232,744929,A,DI,DI,6561905,607058,02-01-1979,400,4,428.991201,2014,ARTERIAL,TRSUB-TRANSMISSION MAIN,428.991201,0,12,0.0279726017,5,7.35,Medium,7,0.016317351,5,10.89,Low,3,0.5,0.26,36,2.22,5,15,Medium,150.1469204,214.4956005,1576,0.231372158,15,High,240,429.336,Medium,Very High,3,5,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.3,2 (Low),2 (Low),15,0.0333752697,1.16E-13,0.104188632,0,150,105,Moderately Low,Moderately Low,2,2,,ERIN MILLS,PKWY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,586.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
240,Polyline,559,513606,A,CPP,CPP,594942,594926,01-01-1969,400,3,421.125402,2011,COLLECTOR,TRSUB-TRANSMISSION MAIN,421.125402,0,3,0.0071237688,5,7.35,Medium,3,0.0071237688,5,10.89,Low,6,1,0.25,69,4.5,0,15,Low,147.3938907,210.562701,1576,0.227129817,15,High,200,429.336,Medium,Very High,3,5,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.6,2 (Low),4 (Severe),0,0.0333752697,1.14E-13,0.1022782739,0,0,0,Very Low,Very Low,1,1,,BRISTOL,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,230,481.836,DO NOTHING,RELINE - REHAB,1,2,,,Moderate
241,Polyline,952,523499,A,CPP,CPP,606905,607177,01-01-1981,400,3,1576.519434,1981,ARTERIAL,TRSUB-TRANSMISSION MAIN,1576.519434,0,15,0.0095146306,5,7.35,Low,6,0.0038058522,5,10.89,Low,36,1,0.25,39,27,5,10,Medium,551.7818019,788.259717,1576,0.850280152,15,High,240,384.836,Medium,Very High,3,5,,0,0,P,CL,0,1,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),37.2,2 (Low),2 (Low),15,0.0333752697,4.25E-13,0.382887581,0,150,105,Moderately Low,Moderately Low,2,2,,BURNHAMTHORPE,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
242,Polyline,952,523499,A,CPP,CPP,606905,607177,01-01-1981,400,3,1576.519434,1981,ARTERIAL,TRSUB-TRANSMISSION MAIN,1576.519434,0,13,0.0082460132,5,7.35,Low,4,0.0025372348,5,10.89,Low,36,1,0.25,39,27,5,10,Medium,551.7818019,788.259717,1576,0.850280152,15,High,240,384.836,Medium,Very High,3,5,,0,0,P,CL,0,1,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),37.2,2 (Low),2 (Low),15,0.0333752697,4.25E-13,0.382887581,0,150,105,Moderately Low,Moderately Low,2,2,,BURNHAMTHORPE,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
243,Polyline,545,512713,A,CPP,CPP,596082,596067,04-01-1989,400,3,1060.634742,1989,LOCAL,TRSUB-TRANSMISSION MAIN,1060.634742,0,23,0.0216851279,5,7.35,Low,4,0.0037713266,5,10.89,Low,28,1,0.25,47,21,5,10,Medium,371.2221597,530.317371,1576,0.572042849,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.8,2 (Low),4 (Severe),15,0.0333752697,2.86E-13,0.2575952201,0,150,105,Moderately Low,Moderately Low,2,2,,RATHKEALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
244,Polyline,545,512713,A,CPP,CPP,596082,596067,04-01-1989,400,3,1060.634742,1989,LOCAL,TRSUB-TRANSMISSION MAIN,1060.634742,0,5,0.0047141582,5,7.35,Low,1,0.0009428316,5,10.89,Low,28,1,0.25,47,21,5,10,Medium,371.2221597,530.317371,1576,0.572042849,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.8,2 (Low),4 (Severe),15,0.0333752697,2.86E-13,0.2575952201,0,150,105,Moderately Low,Moderately Low,2,2,,RATHKEALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
245,Polyline,956,523514,A,CPP,CPP,607186,607187,01-01-1989,400,3,9.746206,1989,LOCAL,TRSUB-TRANSMISSION MAIN,9.746206,0,8,0.8208322295,5,7.35,Medium,4,0.4104161147,5,10.89,Medium,28,1,0.25,47,21,5,10,Medium,3.4111721,4.873103,1576,0.00525652,5,Low,160,295.836,Moderately Low,Moderately High,2,4,,0,0,W,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.2,2 (Low),2 (Low),15,0.0333752697,2.63E-15,0.0023670506,0,150,105,Moderately Low,Moderately Low,2,2,,RATHKEALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,520,579.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
246,Polyline,545,512713,A,CPP,CPP,596082,596067,04-01-1989,400,3,1060.634742,1989,LOCAL,TRSUB-TRANSMISSION MAIN,1060.634742,0,5,0.0047141582,5,7.35,Low,5,0.0047141582,5,10.89,Low,28,1,0.25,47,21,5,10,Medium,371.2221597,530.317371,1576,0.572042849,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.8,2 (Low),4 (Severe),15,0.0333752697,2.86E-13,0.2575952201,0,150,105,Moderately Low,Moderately Low,2,2,,RATHKEALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
247,Polyline,545,512713,A,CPP,CPP,596082,596067,04-01-1989,400,3,1060.634742,1989,LOCAL,TRSUB-TRANSMISSION MAIN,1060.634742,0,39,0.0367704342,5,7.35,Low,8,0.0075426532,5,10.89,Low,28,1,0.25,47,21,5,10,Medium,371.2221597,530.317371,1576,0.572042849,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.8,2 (Low),4 (Severe),15,0.0333752697,2.86E-13,0.2575952201,0,150,105,Moderately Low,Moderately Low,2,2,,RATHKEALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
248,Polyline,969,523904,A,CPP,CPP,603394,603509,01-01-1987,400,4,903.214006,1987,ARTERIAL,TRSUB-TRANSMISSION MAIN,903.214006,0,32,0.0354290343,5,7.35,Medium,19,0.0210359891,5,10.89,Medium,30,1,0.25,45,22.5,5,10,Medium,316.1249021,451.607003,1576,0.487139534,15,High,240,384.836,Medium,Very High,3,5,,0,0,W,CL,0,1,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38,2 (Low),2 (Low),15,0.0333752697,2.44E-13,0.2193626151,0,150,105,Moderately Low,Moderately Low,2,2,,RIDGEWAY,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
249,Polyline,976,525009,A,CPP,CPP,608340,602946,01-01-1981,400,2,517.599299,1981,ARTERIAL,TRSUB-TRANSMISSION MAIN,517.599299,0,32,0.0618238859,5,7.35,Low,16,0.0309119429,5,10.89,Low,36,1,0.25,39,27,5,10,Medium,181.1597547,258.7996495,1576,0.279162059,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,1,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),35.8,2 (Low),2 (Low),15,0.0333752697,1.40E-13,0.1257087856,0,150,105,Moderately Low,Moderately Low,2,2,,ERIN MILLS,PKWY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
250,Polyline,784,518502,A,CPP,CPP,603403,603392,01-01-1986,400,4,1303.21004,1986,LOCAL,TRSUB-TRANSMISSION MAIN,1303.21004,0,4,0.0030693441,5,7.35,Low,4,0.0030693441,5,10.89,Low,31,1,0.25,44,23.25,5,10,Medium,456.123514,651.60502,1576,0.702873435,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.5,2 (Low),2 (Low),0,0.0333752697,3.52E-13,0.3165092221,0,0,0,Very Low,Very Low,1,1,,UNITY,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,270,437.336,DO NOTHING,RELINE - REHAB,1,2,,,Moderate
251,Polyline,982,525031,A,CPP,CPP,608354,608353,01-01-1986,400,4,213.785837,1986,LOCAL,TRSUB-TRANSMISSION MAIN,213.785837,0,39,0.1824255552,5,7.35,Very High,22,0.1029067234,5,10.89,Low,31,1,0.25,44,23.25,5,10,Medium,74.82504295,106.8929185,1576,0.115303275,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Flow),n/a - flow failure,5 (Catastrophic) - Flow Failure,5 (Catastrophic) - Flow Failure,15,0.0333752697,5.77E-14,0.0519219365,0,150,105,Moderately Low,Moderately Low,2,2,,UNITY,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
252,Polyline,982,525031,A,CPP,CPP,608354,608353,01-01-1986,400,4,213.785837,1986,LOCAL,TRSUB-TRANSMISSION MAIN,213.785837,0,29,0.1356497718,5,7.35,Medium,22,0.1029067234,5,10.89,Low,31,1,0.25,44,23.25,5,10,Medium,74.82504295,106.8929185,1576,0.115303275,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Flow),n/a - flow failure,5 (Catastrophic) - Flow Failure,5 (Catastrophic) - Flow Failure,15,0.0333752697,5.77E-14,0.0519219365,0,150,105,Moderately Low,Moderately Low,2,2,,UNITY,DR, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
253,Polyline,1033,536622,A,CPP,CPP,608454,1071271,17-09-2001,400,4,730.69969,2001,LOCAL,TRSUB-TRANSMISSION MAIN,730.69969,0,12,0.0164226154,5,7.35,Low,6,0.0082113077,5,10.89,Low,16,1,0.25,59,12,0,15,Low,255.7448915,365.349845,1576,0.394095645,15,High,200,429.336,Medium,Very High,3,5,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.7,2 (Low),2 (Low),0,0.0333752697,1.97E-13,0.1774642486,0,0,0,Very Low,Very Low,1,1,,FINANCIAL,DR, ,BRAMPTON,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,230,481.836,DO NOTHING,RELINE - REHAB,1,2,,,Low
254,Polyline,590,514356,A,CPP,CPP,594243,594163,01-01-1986,400,4,827.788644,1986,COLLECTOR,TRSUB-TRANSMISSION MAIN,827.788644,0,24,0.028992908,5,7.35,Low,15,0.0181205675,5,10.89,Low,31,1,0.25,44,23.25,5,10,Medium,289.7260254,413.894322,1576,0.446459611,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,1,0,0,1,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,2.23E-13,0.2010441385,0,150,105,Moderately Low,Moderately Low,2,2,,CREDITVIEW,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,542.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
255,Polyline,1266,689520,A,CPP,CPP,602698,6530494,06-12-1995,400,2,50.308343,1995,LOCAL,TRSUB-TRANSMISSION MAIN,50.308343,0,9,0.1788967687,5,7.35,Low,3,0.0596322562,5,10.89,Low,22,1,0.25,53,16.5,0,10,Low,17.60792005,25.1541715,1576,0.027133307,10,Medium,160,340.336,Moderately Low,Moderately High,2,4,,0,0,I,C,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),34.7,3 (Moderate),3 (Moderate),15,0.0333752697,1.36E-14,0.0122183332,0,150,105,Moderately Low,Moderately Low,2,2,,NORTH SHERIDAN,WAY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,520,623.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
256,Polyline,803,518706,A,CPP,CPP,603564,602924,12-01-1979,400,3,1244.561004,1979,LOCAL,TRSUB-TRANSMISSION MAIN,1244.561004,0,11,0.0088384579,5,7.35,Low,5,0.0040174808,5,10.89,Low,38,1,0.25,37,28.5,5,10,Medium,435.5963514,622.280502,1576,0.671241658,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,1,1,0,0,Fail (Pressure),38.5,2 (Low),2 (Low),15,0.0333752697,3.36E-13,0.3022651938,0,150,105,Moderately Low,Moderately Low,2,2,,WINSTON CHURCHILL,BLVD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
257,Polyline,884,521793,A,CPP,CPP,606916,606917,01-01-1985,400,3,806.476747,1985,LOCAL,TRSUB-TRANSMISSION MAIN,806.476747,0,35,0.0433986474,5,7.35,Medium,5,0.0061998068,5,10.89,Low,32,1,0.25,43,24,5,10,Medium,282.2668615,403.2383735,1576,0.434965251,15,High,240,384.836,Medium,Very High,3,5,,0,0,W,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.6,2 (Low),4 (Severe),15,0.0333752697,2.18E-13,0.195868141,0,150,105,Moderately Low,Moderately Low,2,2,,PERIVALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
258,Polyline,952,523499,A,CPP,CPP,606905,607177,01-01-1981,400,3,1576.519434,1981,ARTERIAL,TRSUB-TRANSMISSION MAIN,1576.519434,0,24,0.0152234089,5,7.35,Low,2,0.0012686174,5,10.89,Low,36,1,0.25,39,27,5,10,Medium,551.7818019,788.259717,1576,0.850280152,15,High,240,384.836,Medium,Very High,3,5,,0,0,P,CL,0,1,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),37.2,2 (Low),2 (Low),15,0.0333752697,4.25E-13,0.382887581,0,150,105,Moderately Low,Moderately Low,2,2,,BURNHAMTHORPE,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
259,Polyline,976,525009,A,CPP,CPP,608340,602946,01-01-1981,400,2,517.599299,1981,ARTERIAL,TRSUB-TRANSMISSION MAIN,517.599299,0,30,0.057959893,5,7.35,Medium,8,0.0154559715,5,10.89,Low,36,1,0.25,39,27,5,10,Medium,181.1597547,258.7996495,1576,0.279162059,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,1,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),35.8,2 (Low),2 (Low),15,0.0333752697,1.40E-13,0.1257087856,0,150,105,Moderately Low,Moderately Low,2,2,,ERIN MILLS,PKWY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
260,Polyline,763,517875,A,CPP,CPP,603002,602646,01-01-1974,400,2,332.027719,1974,LOCAL,TRSUB-TRANSMISSION MAIN,332.027719,0,11,0.0331297641,5,7.35,Medium,9,0.0271061706,5,10.89,Medium,43,1,0.25,32,32.25,5,5,Medium,116.2097017,166.0138595,1576,0.179075864,15,High,240,340.336,Medium,Moderately High,3,4,,0,0,I,CL,1,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.9,2 (Low),2 (Low),15,0.0333752697,8.96E-14,0.0806392153,0,150,105,Moderately Low,Moderately Low,2,2,,DUNDAS,ST,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,623.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
261,Polyline,769,518161,A,CPP,CPP,602784,602758,31-12-1899,400,2,105.23374,1900,ARTERIAL,TRSUB-TRANSMISSION MAIN,105.23374,0,23,0.2185610813,5,7.35,Low,2,0.0190053114,5,10.89,Low,117,1,0.25,-42,87.75,15,0,Very High,36.831809,52.61687,1576,0.056756776,15,High,320,295.836,Moderately High,Moderately High,4,4,,0,0,W,SL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),33.6,3 (Moderate),3 (Moderate),15,0.0333752697,2.84E-14,0.0255580054,0,150,105,Moderately Low,Moderately Low,2,2,,MISSISSAUGA,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,680,579.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
262,Polyline,1003,525761,A,CPP,CPP,602777,602804,06-01-1967,400,2,85.122891,1967,LOCAL,TRSUB-TRANSMISSION MAIN,85.122891,0,3,0.0352431639,5,7.35,Low,3,0.0352431639,5,10.89,Low,50,1,0.25,25,37.5,10,5,High,29.79301185,42.5614455,1576,0.045910189,10,Medium,240,295.836,Medium,Moderately High,3,4,,0,0,W,SL,0,1,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,2.30E-14,0.0206737051,0,150,105,Moderately Low,Moderately Low,2,2,,MISSISSAUGA,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,579.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
263,Polyline,1005,525825,A,CPP,CPP,608341,608342,01-01-1981,400,2,11.942738,1981,ARTERIAL,TRSUB-TRANSMISSION MAIN,11.942738,0,19,1.5909249621,5,7.35,Low,16,1.3397262839,5,10.89,Low,36,1,0.25,39,27,5,10,Medium,4.1799583,5.971369,1576,0.006441198,5,Low,160,295.836,Moderately Low,Moderately High,2,4,,0,0,I,CL,1,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.8,2 (Low),2 (Low),15,0.0333752697,3.22E-15,0.0029005199,0,150,105,Moderately Low,Moderately Low,2,2,,LINCOLN GREEN,WAY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,520,579.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
264,Polyline,545,512713,A,CPP,CPP,596082,596067,04-01-1989,400,3,1060.634742,1989,LOCAL,TRSUB-TRANSMISSION MAIN,1060.634742,0,36,0.0339419393,5,7.35,Medium,17,0.016028138,5,10.89,Low,28,1,0.25,47,21,5,10,Medium,371.2221597,530.317371,1576,0.572042849,15,High,240,384.836,Medium,Very High,3,5,,0,0,I,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.8,2 (Low),4 (Severe),15,0.0333752697,2.86E-13,0.2575952201,0,150,105,Moderately Low,Moderately Low,2,2,,RATHKEALE,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
