FID,Shape *,OBJECTID,HANSEN_COM,INFRA_STAT,MATERIAL,MATERIAL_CD,FRM_NODE,TO_NODE,INSTALL_DA,DIAMETER,WPZ,LEN_M,INST_YR,ST_CLASS,Source,Shape_Leng,TRANS,TotBrks,TotBrks_Lenght,BRK_SCR,BRL_SCR_TARGET,BRK_Level,BRKS_FVYRS,BRKS_FV_YRS_L,BRKS_FVYRS_SCR,BRKS_FVYRS_SCR_TARGET,BRKS_FVYRS_Level,Age,Mat_Fact,TARGET_Mat_Fact,RSL,TARGET_RSL,RSL_SCR,TARGET_RSL_SCR,RSL_Level,Operation_Cost,Maintenance_Cost,REPLC_COST,MI,MI_SCR,MI_Level,Condition_Score,TARGET_Condition_Score,Condition_Score_Level,TARGET_Condition_Score_Level,Condition_level,TARGET_Condition_level,,QUALIT_SCR,TARGET_QUALIT_SCR,DRAINAGE,SOIL,WTR,ESA,WL,FLP,HWY,RWY,HPU,HEU,Hospital,Med_Centre,LT_CARE,School,HDL,Crit_Rests,CritPres2D,CritConsSc,OPSC,STANDARD_CONFOR,f,R,HL,HEAD_LOSS_SCR,Performanc_SCR,TARGET_Performanc_SCR,Performance_Score_Level,TARGET_Performance_Score_Level,Performance_Level,TARGET_Performance_Level,,ST_NAME,ST_TYPE,ST_DIR,CITY,TM,Hosp_Serv,Airp_Serv,New_Seg,Active_Ope,Tran_main,DIA_SCR,TARGET_DIA_SCR,ENVMT_SCR,TARGET_ENVMT_SCR,ACCESS_SCR,TARGET_ACCESS_SCR,Criticality_SCR,TARGET_Criticality_SCR,Criticality_Score_Level,TARGET_Criticality_Score_Level,Criticality_Level,TARGET_Criticality_Level,,PAN,TARGET_PAN,MITIGATION_Score_Level,TARGET_MITIGATION_Score_Level,MITIGATION_Level_PAN,TARGET_MITIGATION_Level_PAN,Model_Mitigation,TARGET_Model_ Mitigation,RiskThresh
10,Polyline,129,517698,A,DI,DI,602385,602548,01-01-1979,400,2,242.29688,1979,LOCAL,TRSUB-TRANSMISSION MAIN,242.29688,0,38,0.156832395,5,7.35,Low,26,0.1073063756,5,10.89,Low,38,0.5,0.26,18.5,28.12,10,10,High,84.803908,121.14844,1576,0.130680424,15,High,280,384.836,Medium,Very High,3,5,,0,0,I,C,1,1,0,1,1,0,0,0,0,0,0,0,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,6.54E-14,0.0588463829,0,150,105,Moderately Low,Moderately Low,2,2,,SOUTH SHERIDAN,WAY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,640,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,High
11,Polyline,130,517699,A,DI,DI,602548,602386,01-01-1992,400,2,1005.249136,1992,LOCAL,TRSUB-TRANSMISSION MAIN,1005.249136,0,33,0.032827683,5,7.35,Low,26,0.0258642351,5,10.89,Low,25,0.5,0.26,25,18.5,10,10,High,351.8371976,502.624568,1576,0.542171171,15,High,280,384.836,Medium,Very High,3,5,,0,0,I,C,0,1,0,0,1,0,0,0,0,0,0,0,0,Pass,Pass,1 (Negligible),1 (Negligible),15,0.0333752697,2.71E-13,0.2441437775,0,150,105,Moderately Low,Moderately Low,2,2,,SOUTH SHERIDAN,WAY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,640,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
12,Polyline,131,517908,A,DI,DI,6564371,603052,07-01-1989,400,3,43.16676,1989,ARTERIAL,TRSUB-TRANSMISSION MAIN,43.16676,0,25,0.5791493269,5,7.35,Very High,23,0.5328173808,5,10.89,Very High,28,0.5,0.26,23.5,20.72,10,10,High,15.108366,21.58338,1576,0.023281565,10,Medium,240,340.336,Medium,Moderately High,3,4,,0,0,I,C,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Flow),n/a - flow failure,5 (Catastrophic) - Flow Failure,5 (Catastrophic) - Flow Failure,15,0.0333752697,1.16E-14,0.0104838646,0,150,105,Moderately Low,Moderately Low,2,2,,WINSTON CHURCHILL,BLVD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,623.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
13,Polyline,132,518556,A,DI,DI,603506,603507,04-01-1988,400,3,751.222635,1988,ARTERIAL,TRSUB-TRANSMISSION MAIN,751.222635,0,12,0.0159739596,5,7.35,Low,6,0.0079869798,5,10.89,Low,29,0.5,0.26,23,21.46,10,10,High,262.9279223,375.6113175,1576,0.405164492,15,High,280,384.836,Medium,Very High,3,5,,0,0,I,C,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.9,2 (Low),2 (Low),15,0.0333752697,2.03E-13,0.1824486342,0,150,105,Moderately Low,Moderately Low,2,2,,DUNDAS,ST,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,640,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
14,Polyline,157,523235,A,DI,DI,594224,607055,01-01-1971,400,4,376.32021,1971,COLLECTOR,TRSUB-TRANSMISSION MAIN,376.32021,0,11,0.0292304259,5,7.35,Low,0,0,0,6,Medium,46,0.5,0.26,14.5,34.04,15,5,Very High,131.7120735,188.160105,1576,0.20296458,15,High,280,296.815,Medium,Moderately High,3,4,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.9,2 (Low),2 (Low),15,0.0333752697,1.02E-13,0.091396485,0,150,105,Moderately Low,Moderately Low,2,2,,MISSISSAUGA,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,550,454.315,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
15,Polyline,157,523235,A,DI,DI,594224,607055,01-01-1971,400,4,376.32021,1971,COLLECTOR,TRSUB-TRANSMISSION MAIN,376.32021,0,0,0,0,6,Medium,0,0,0,6,Medium,46,0.5,0.26,14.5,34.04,15,5,Very High,131.7120735,188.160105,1576,0.20296458,15,High,240,284.8,Medium,Medium,3,3,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.9,2 (Low),2 (Low),15,0.0333752697,1.02E-13,0.091396485,0,150,105,Moderately Low,Moderately Low,2,2,,MISSISSAUGA,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,442.3,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
16,Polyline,158,523237,A,DI,DI,607056,607055,01-01-1971,400,4,14.334156,1971,COLLECTOR,TRSUB-TRANSMISSION MAIN,14.334156,0,21,1.465032193,5,7.35,Medium,9,0.6278709399,5,10.89,Medium,46,0.5,0.26,14.5,34.04,15,5,Very High,5.0169546,7.167078,1576,0.007730985,5,Low,240,251.336,Medium,Medium,3,3,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.2,2 (Low),2 (Low),15,0.0333752697,3.87E-15,0.0034813211,0,150,105,Moderately Low,Moderately Low,2,2,,MISSISSAUGA,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,408.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
17,Polyline,157,523235,A,DI,DI,594224,607055,01-01-1971,400,4,376.32021,1971,COLLECTOR,TRSUB-TRANSMISSION MAIN,376.32021,0,10,0.0265731144,5,7.35,Medium,2,0.0053146229,5,10.89,Medium,46,0.5,0.26,14.5,34.04,15,5,Very High,131.7120735,188.160105,1576,0.20296458,15,High,320,340.336,Moderately High,Moderately High,4,4,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.9,2 (Low),2 (Low),15,0.0333752697,1.02E-13,0.091396485,0,150,105,Moderately Low,Moderately Low,2,2,,MISSISSAUGA,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,590,497.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
18,Polyline,160,523446,A,DI,DI,607159,607160,03-01-1985,400,3,21.308514,1989,ARTERIAL,TRSUB-TRANSMISSION MAIN,21.308514,0,14,0.6570143746,5,7.35,Low,5,0.2346479909,5,10.89,Low,28,0.5,0.26,23.5,20.72,10,10,High,7.4579799,10.654257,1576,0.011492536,10,Medium,240,340.336,Medium,Moderately High,3,4,,0,0,W,CL,0,1,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.2,2 (Low),2 (Low),15,0.0333752697,5.75E-15,0.0051751759,0,150,105,Moderately Low,Moderately Low,2,2,,EGLINTON,AVE,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,600,623.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
19,Polyline,105,515672,A,DI,DI,608412,594287,01-01-1975,400,4,1385.367443,1975,ARTERIAL,TRSUB-TRANSMISSION MAIN,1385.367443,0,23,0.0166020936,5,7.35,Low,9,0.0064964714,5,10.89,Low,42,0.5,0.26,16.5,31.08,10,5,High,484.8786051,692.6837215,1576,0.747184217,15,High,280,340.336,Medium,Moderately High,3,4,,0,0,P,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.5,2 (Low),2 (Low),0,0.0333752697,3.74E-13,0.3364627023,0,0,0,Very Low,Very Low,1,1,,BRITANNIA,RD,W,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,310,392.836,RELINE - REHAB,RELINE - REHAB,2,2,,,High
20,Polyline,129,517698,A,DI,DI,602385,602548,01-01-1979,400,2,242.29688,1979,LOCAL,TRSUB-TRANSMISSION MAIN,242.29688,0,33,0.1361965536,5,7.35,Very High,16,0.0660346926,5,10.89,Medium,38,0.5,0.26,18.5,28.12,10,10,High,84.803908,121.14844,1576,0.130680424,15,High,280,384.836,Medium,Very High,3,5,,0,0,I,C,1,1,0,1,1,0,0,0,0,0,0,0,0,Fail (Pressure),38.4,2 (Low),2 (Low),15,0.0333752697,6.54E-14,0.0588463829,0,150,105,Moderately Low,Moderately Low,2,2,,SOUTH SHERIDAN,WAY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,9,15,9,210,178.5,Moderately High,Moderately High,5,4,,640,668.336,RELINE - REHAB,RELINE - REHAB,2,2,,,High
21,Polyline,169,526191,A,DI,DI,595043,595057,01-01-1987,400,3,1112.340976,1987,LOCAL,TRSUB-TRANSMISSION MAIN,1112.340976,0,14,0.0125860688,5,7.35,Low,3,0.0026970147,5,10.89,Low,30,0.5,0.26,22.5,22.2,10,10,High,389.3193416,556.170488,1576,0.599930095,15,High,280,384.836,Medium,Very High,3,5,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),37.5,2 (Low),2 (Low),15,0.0333752697,3.00E-13,0.2701530576,0,150,105,Moderately Low,Moderately Low,2,2,,CHURCH,ST, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,550,542.336,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
22,Polyline,232,744929,A,DI,DI,6561905,607058,02-01-1979,400,4,428.991201,2015,ARTERIAL,TRSUB-TRANSMISSION MAIN,428.991201,0,17,0.0396278524,5,7.35,Medium,10,0.0233105014,5,10.89,Medium,2,0.5,0.26,36.5,1.48,5,15,Medium,150.1469204,214.4956005,1576,0.231372158,15,High,240,429.336,Medium,Very High,3,5,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,1,0,Fail (Pressure),38.3,2 (Low),2 (Low),15,0.0333752697,1.16E-13,0.104188632,0,150,105,Moderately Low,Moderately Low,2,2,,ERIN MILLS,PKWY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,586.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Low
23,Polyline,234,762788,A,DI,DI,6565745,607075,01-01-1969,400,3,672.03425,2011,LOCAL,TRSUB-TRANSMISSION MAIN,672.03425,0,14,0.0208322716,5,7.35,Medium,12,0.0178562328,5,10.89,Low,6,0.5,0.26,34.5,4.44,5,15,Medium,235.2119875,336.017125,1576,0.362455021,15,High,240,429.336,Medium,Very High,3,5,,0,0,W,CL,1,0,0,1,0,0,0,0,0,1,1,0,0,Fail (Pressure),37.6,2 (Low),4 (Severe),15,0.0333752697,1.81E-13,0.1632162362,0,150,105,Moderately Low,Moderately Low,2,2,,MAIN,ST, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,586.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
24,Polyline,234,762788,A,DI,DI,6565745,607075,01-01-1969,400,3,672.03425,2011,LOCAL,TRSUB-TRANSMISSION MAIN,672.03425,0,25,0.0372004849,5,7.35,Medium,9,0.0133921746,5,10.89,Low,6,0.5,0.26,34.5,4.44,5,15,Medium,235.2119875,336.017125,1576,0.362455021,15,High,240,429.336,Medium,Very High,3,5,,0,0,W,CL,1,0,0,1,0,0,0,0,0,1,1,0,0,Fail (Pressure),37.6,2 (Low),4 (Severe),15,0.0333752697,1.81E-13,0.1632162362,0,150,105,Moderately Low,Moderately Low,2,2,,MAIN,ST, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,15,0,0,0,120,52.5,Medium,Very Low,5,1,,510,586.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
25,Polyline,259,808874,A,DI,DI,6500125,6573089,02-01-1979,400,4,18.325072,1973,COLLECTOR,TRSUB-TRANSMISSION MAIN,18.325072,0,38,2.0736617024,5,7.35,Medium,9,0.4911304032,5,10.89,Medium,44,0.5,0.26,15.5,32.56,10,5,High,6.4137752,9.162536,1576,0.009883446,5,Low,200,251.336,Medium,Medium,3,3,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),39.9,2 (Low),2 (Low),0,0.0333752697,4.95E-15,0.0044505905,0,0,0,Very Low,Very Low,1,1,,ERIN MILLS,PKWY, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,230,303.836,DO NOTHING,RELINE - REHAB,1,2,,,Moderate
26,Polyline,267,837454,A,DI,DI,6576007,6576005,05-01-2010,400,4,11.774061,2010,COLLECTOR,TRSUB-TRANSMISSION MAIN,11.774061,0,7,0.5945272409,5,7.35,Low,2,0.169864926,5,10.89,Low,7,0.5,0.26,34,5.18,5,15,Medium,4.12092135,5.8870305,1576,0.006350223,5,Low,160,340.336,Moderately Low,Moderately High,2,4,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.4,2 (Low),2 (Low),0,0.0333752697,3.18E-15,0.0028595535,0,0,0,Very Low,Very Low,1,1,,BATTLEFORD,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,190,392.836,DO NOTHING,RELINE - REHAB,1,2,,,Low
27,Polyline,267,837454,A,DI,DI,6576007,6576005,05-01-2010,400,4,11.774061,2010,COLLECTOR,TRSUB-TRANSMISSION MAIN,11.774061,0,26,2.2082440375,5,7.35,Low,4,0.3397298519,5,10.89,Low,7,0.5,0.26,34,5.18,5,15,Medium,4.12092135,5.8870305,1576,0.006350223,5,Low,160,340.336,Moderately Low,Moderately High,2,4,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.4,2 (Low),2 (Low),0,0.0333752697,3.18E-15,0.0028595535,0,0,0,Very Low,Very Low,1,1,,BATTLEFORD,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,190,392.836,DO NOTHING,RELINE - REHAB,1,2,,,Low
28,Polyline,267,837454,A,DI,DI,6576007,6576005,05-01-2010,400,4,11.774061,2010,COLLECTOR,TRSUB-TRANSMISSION MAIN,11.774061,0,1,0.084932463,5,7.35,Low,1,0.084932463,5,10.89,Low,7,0.5,0.26,34,5.18,5,15,Medium,4.12092135,5.8870305,1576,0.006350223,5,Low,160,340.336,Moderately Low,Moderately High,2,4,,0,0,I,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),37.4,2 (Low),2 (Low),0,0.0333752697,3.18E-15,0.0028595535,0,0,0,Very Low,Very Low,1,1,,BATTLEFORD,RD, ,MISSISSAUGA,No,0,0, ,YES,NO,5,7.5,0,0,0,0,30,52.5,Very Low,Very Low,1,1,,190,392.836,DO NOTHING,RELINE - REHAB,1,2,,,Low
29,Polyline,280,807476,A,CICPP,CPP,6511424,6572836,26-08-2002,900,5,16.226715,2002,COLLECTOR,TRSUB-TRANSMISSION MAIN,16.226715,0,31,1.9104298066,5,7.35,Low,29,1.7871762707,5,10.89,Low,15,1,0.25,60,11.25,0,15,Low,5.67935025,8.1133575,2116,0.006518293,5,Low,120,340.336,Moderately Low,Moderately High,2,4,,0,0,W,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail (Pressure),38.6,2 (Low),2 (Low),0,0.0261978464,5.96E-17,5.36451887995085E-05,15,150,105,Moderately Low,Moderately Low,2,2,,HERITAGE,RD, ,BRAMPTON,Yes,0,0, ,YES,NO,15,7.5,15,0,0,0,180,52.5,Moderately High,Very Low,5,1,,450,497.836,RELINE - REHAB,RELINE - REHAB,2,2,,,Moderate
