W/O #,Service Request #,No. of Breaks,W/O Date,SRC,Asset Type,Mat,Dia,FROM NODE,TO NODE,Failure Type,Failure Cause,W/M Depth,Soil Type,UNIT,Street,Pres Zone,Zone,Tile,COMPKEY
   707440,1032641,1,17/01/2009,WOLF,WMN,CI,150,603103,603104,1.1,8.3,1.83 ,CLAY,2365,CORSICA CT,3,Z18,0112,517929
   574811,907705,1,11/06/2008,WOLF,WMN,CI,150,603103,6566962,1.1,8.7,2.13 ,SAND,2381,PYRAMID CR,3,Z18,0112,780222
   457369,642457,1,23/01/2007,WOLF,WMN,CI,150,603103,6566962,1.1,8.5,1.83 ,CLAY,2391,PYRAMID CR,3,Z18,0112,780222
   414780,549022,1,19/06/2006,WOLF,WMN,CI,150,603103,6566962,1.1,8.7,2.13 ,CLAY,,PYRAMID CR,3,Z18,0112,780222
   273207,1,1,12/12/1994,,WMN,CI,150,603103,6566962,1.1,8.7,0.00 ,,,PYRAMID CR,3,Z18,0112,780222
   274743,1,1,25/09/1989,,WMN,CI,150,603103,6566962,1.1,8.7,0.00 ,,,PYRAMID CR,3,Z18,0112,780222
   268670,1,1,21/09/1984,,WMN,CI,150,603103,6566962,1.1,,0.00 ,,,PYRAMID CR,3,Z18,0112,780222
   268163,1,1,09/07/1983,,WMN,CI,150,603103,6566962,1.1,,0.00 ,,,PYRAMID CR,3,Z18,0112,780222
   268152,1,1,25/06/1983,,WMN,CI,150,603103,6566962,1.1,,0.00 ,,,PYRAMID CR,3,Z18,0112,780222
   272139,1,1,06/09/1993,,WMN,CI,150,603106,603107,1.1,8.7,0.00 ,,,ARIOSO CT,3,Z18,0112,517930
   267300,1,1,01/01/1981,,WMN,CI,150,603106,603107,1.2,,0.00 ,,,ARIOSO CT,3,Z18,0112,517930
  2249496,2571705,1,27/07/2015,WOLF,WMN,DI,200,603117,603121,,,2.44 ,,2574,HORNSGATE DR,3,Z18,0131,518000
  1132105,1434558,1,25/02/2011,WOLF,WMN,DI,150,603122,603123,1.3,8.5,1.83 ,CLAY,2543-2539,MERRINGTON CR,3,Z18,0131,517934
   275480,1,1,27/12/1997,,WMN,DI,150,603122,603123,1.1,8.7,0.00 ,,,MERRINGTON CR,3,Z18,0131,517934
   503030,746180,1,20/08/2007,WOLF,WMN,CI,200,603124,603127,1.1,8.5,2.13 ,CLAY,2510,HORNSGATE DR,3,Z18,0131,518008
    12062,1,1,07/10/2000,WOLF,WMN,DI,150,603125,603127,,,0.00 ,,,KINNERTON CR,3,Z18,0131,518007
     9502,1,1,05/09/2000,WOLF,WMN,DI,200,603127,603117,,,0.00 ,,,HORNSGATE DR,3,Z18,0131,525750
  1559788,1835959,1,26/01/2013,WOLF,WMN,CPP,600,603137,603138,1.2,8.5,2.13 ,GRAC,2605,WOODCHESTER DR,3,,0131,517939
   311659,1,1,10/02/2005,WOLF,WMN,CPP,600,603137,603138,1.3,8.5,3.05 ,CLAY,,WOODCHESTER DR,3,,0131,517939
  1451806,1768847,1,24/09/2012,WOLF,WMN,CI,150,603141,603142,1.1,8.5,1.83 ,CLAY,2401,LOANNE DR,3,Z18,0132,525746
   712315,1038370,1,01/02/2009,WOLF,WMN,CI,200,603141,603053,1.1,8.5,2.13 ,CLAY,2645,LIRUMA RD,3,Z18,0132,518023
   464510,649726,1,16/02/2007,WOLF,WMN,CI,200,603141,603053,1.1,8.7,2.44 ,CLAY,2613,LIRUMA RD,3,Z18,0132,518023
   384332,1,1,20/01/2006,WOLF,WMN,CI,150,603141,603142,1.3,8.5,1.83 ,CLAY,,LOANNE DR,3,Z18,0132,525746
   170251,86983,1,24/02/2003,WOLF,WMN,CI,150,603141,603142,,,,,,LOANNE DR,3,Z18,0132,525746
   170256,86983,1,24/02/2003,WOLF,WMN,CI,150,603141,603142,1.1,8.7,1.80 ,CLAY,,LOANNE DR,3,Z18,0132,525746
   268906,1,1,17/02/1991,,WMN,CI,200,603141,603053,1.1,8.7,0.00 ,,,LIRUMA RD,3,Z18,0132,518023
