Replacement Cost,Current PAN #,Recent Number of Breaks Level,W/M Depth m,Asset Type,Recent Number of Break,Tile,Total Breaks Level,Operation Cost,MI Level,Mat,Recent Number of Breaks Score,TO NODE,W/O Date,Remaining Service Life ,Dia mm,Remaining Service Life Score,Pres Zone,MI Scores,SRC,Failure Cause,Maintenance Cost,Lenght m,FROM NODE,Zone,No. of Breaks,TotalCondition Level,Soil Type,Remaining Service Life Level,Total Break Score,Installation Date,Service Request #,Installation Year,Condition Score,Maintenance Index,Street,condition_model,W/O #,Failure Type,St Name
1171,520,Low,2,WMN,5,1061,Low,51.45,High,DI,0,6563587,31-05-2014,29,300,10,6,15,C_UT,8.5,73.5,147,592423,B26,6,Moderately High,CLAY,High,10,01-01-1965,2211281,1905,280,0.1067036721,HEART LAKE RD,Very High,  1922369,2.1,HEART LAKE RD
877,630,Low,2,WMN,0,0899,Medium,7,Medium,DI,0,598522,02-09-2014,38,150,5,5,10,C_UT,8.5,10,20,598402,B46,1,Very Low,CLAY,Medium,5,01-01-1974,2291520,1905,160,0.0193842645,HILLDALE CR,Very Low,  1975176,1.3,HILLDALE CR
877,40,Low,1.8,WMN,0,0988,Medium,1.75,Low,PVC,0,6526964,30-07-2014,69,150,0,4,5,C_UT,,2.5,5,6526805,B50,1,Extremely Low,,Low,5,20-06-2005,2264843,1905,80,0.0048460661,HOMEVIEW RD,Very Low,  1957062,,HOMEVIEW RD
877,780,Low,2,WMN,0,0715,Medium,12.25,Medium,CI,0,597128,31-01-2014,27,150,10,5,10,C_UT,8.5,17.5,35,597129,B60,1,Moderately Low,CLAY,High,5,01-01-1963,2139605,1905,200,0.0339224629,INGLEWOOD DR,Moderately Low,  1842006,1.1,INGLEWOOD DR
877,630,Low,2,WMN,0,0896,Medium,10.85,Medium,DI,0,598989,02-04-2014,38,150,5,6,10,C_UT,8.5,15.5,31,599390,B44,1,Very Low,CLAY,Medium,5,01-01-1974,2166920,1905,160,0.03004561,IVYBRIDGE DR,Very Low,  1874762,1.1,IVYBRIDGE DR
1576,660,Very High,3,WMN,7,0763,Low,64.4,High,DI,15,597131,25-08-2014,35,400,5,5,15,C_UT,8.5,92,184,597520,B59,8,Very High,CLAY,Medium,10,01-05-1971,2285606,1905,360,0.0992385787,MAIN ST,Very High,  1969892,1.3,MAIN ST
1089,0,Low,2,WMN,0,0708,Medium,8.75,Medium,PVC,0,6593598,19-06-2014,46,200,5,5,10,C_UT,8.7,12.5,25,597979,B55,1,Very Low,CLAY,Medium,5,01-01-1982,2214785,1905,160,0.019513315,MISSISSAUGA RD,Very Low,  1936284,4.1,MISSISSAUGA RD
1171,630,High,2.5,WMN,4,0815,Low,11.55,Medium,DI,10,597494,15-11-2014,33,300,5,5,10,C_UT,8.5,16.5,33,599261,B42,5,Moderately High,SICY,Medium,10,01-09-1969,2349526,1905,280,0.0239538856,QUEEN ST,Moderately High,  2017943,1.3,QUEEN ST
2131,660,Low,2,WMN,0,0814,Medium,15.05,Medium,CPP,0,6537786,10-12-2014,15,600,0,5,10,C_UT,8.5,21.5,43,595855,B58,1,Very Low,CLAY,Low,5,01-01-1951,2354367,1905,120,0.017151572,QUEEN ST,Moderately Low,  2032075,4.1,QUEEN ST
877,630,Low,2,WMN,0,0869,Medium,0.7,Low,DI,0,598953,11-02-2014,35,150,5,5,5,C_UT,8.7,1,2,598951,B44,1,Very Low,CLAY,Medium,5,01-01-1971,2144653,1905,120,0.0019384265,REIGATE AVE,Very Low,  1846339,1.3,REIGATE AVE
877,630,Low,2,WMN,0,0654,Medium,2530.15,High,DI,0,601057,15-08-2014,33,150,5,4,15,C_UT,8.5,3614.5,7229,601058,Z48W,1,Moderately Low,SICY,Medium,5,01-01-1969,2278685,1905,200,7.0064424173,REINDEER DR,Moderately Low,  1966242,2.1,REINDEER DR
1089,630,Low,1.7,WMN,0,1059,Medium,14,Medium,DI,0,592317,09-10-2014,41,200,5,6,10,C_UT,8.5,20,40,6580525,B26,1,Very Low,CLAY,Medium,5,01-01-1977,2322340,1905,160,0.0312213039,REYNIER DR,Very Low,  1999972,1.3,REYNIER DR
877,780,Low,2,WMN,0,0839,Medium,9.1,Medium,CI,0,599995,02-12-2014,24,150,10,5,10,C_UT,8.7,13,26,600149,B41,1,Moderately Low,CYSI,High,5,01-06-1960,2361185,1905,200,0.0251995439,SANFORD CR,Moderately Low,  2027473,1.1,SANFORD CR
877,630,Low,1.8,WMN,0,0676,Medium,2590.7,High,DI,0,600994,08-02-2014,33,150,5,4,15,C_UT,8.5,3701,7402,600990,Z48W,1,Moderately Low,CLAY,Medium,5,01-01-1969,2143430,1905,200,7.1741163056,SILLS RD,Moderately Low,  1845191,1.1,SILLS RD
1576,660,Low,2.8,WMN,0,0690,Medium,174.65,High,DI,0,6585940,19-10-2014,33,400,5,5,15,C_UT,8.3,249.5,499,597779,B59,1,Moderately Low,SACL,Medium,5,01-01-1969,2330113,1905,200,0.2691307107,STEELES AVE,Moderately Low,  2003201,1.3,STEELES AVE
1089,630,Low,2.25,WMN,0,1030,Medium,10.5,Medium,DI,0,601769,28-09-2014,41,200,5,6,10,C_UT,8.7,15,30,6565527,B25,1,Very Low,CLAY,Medium,5,01-01-1977,2313848,1905,160,0.023415978,SUTTER AVE,Very Low,  1992137,1.3,SUTTER AVE
1089,510,Low,2.5,WMN,0,1157,Medium,3832.5,High,PVC,0,6531608,17-09-2014,45,200,5,5,15,C_UT,8.7,5475,10950,599936,B33,1,Moderately Low,CLAY,Medium,5,01-03-1981,2304004,1905,200,8.5468319559,THE GORE RD,Moderately Low,  1984470,4.1,THE GORE RD
1089,780,Very High,2,WMN,14,0793,Very High,2.45,Low,DI,15,596937,20-06-2014,29,200,10,5,5,C_UT,8.5,3.5,7,596962,B62,15,Very High,CLAY,High,15,01-01-1965,2226467,1905,360,0.0054637282,TILBURY CT,Very High,  1937125,1.2,TILBURY CT
877,740,Low,2,WMN,0,0654,Medium,2553.95,High,CI,0,6519904,11-03-2014,34,150,5,4,15,C_UT,8.5,3648.5,7297,6519965,Z48W,1,Moderately Low,CLAY,Medium,5,20-02-1970,2158128,1905,200,7.0723489168,VERNOR DR,Moderately Low,  1863006,1.1,VERNOR DR
1089,550,Low,3,WMN,0,0837,Medium,12.25,Medium,PVC,0,6566016,28-02-2014,53,200,0,,10,C_UT,8.7,17.5,35,600104,B41,1,Very Low,CLAY,Low,5,01-01-1989,2152726,1905,120,0.027318641,WAYNE NICOL DR,Very Low,  1859014,1.1,WAYNE NICOL DR
