Mitigation_Matrix_Score,,CritPres2D,Tran_main,WL,TARGET_ENVMT_SCR,PAN,WTR,Performance_Level,Hosp_Serv,INFRA_STAT,HANSEN_COM,Condition_Score_Level,BRKS_FVYRS_Level,MI_SCR,STANDARD_CONFOR,Condition_level,Criticality_Score_Level,RiskThresh,FID,TRANS,TARGET_Criticality_SCR,BRKS_FVYRS,TARGET_Performance_Score_Level,TARGET_Mat_Fact,Criticality_Level,DIAMETER,FLP,Hospital,TARGET_Criticality_Level,Source,HL,ST_CLASS,HDL,Model_Mitigation,Criticality_SCR,Performance_Score_Level,HEAD_LOSS_SCR,Maintenance_Cost,School,Age,Med_Centre,BRKS_FVYRS_SCR_TARGET,Shape *,TARGET_Performanc_SCR,MI,TARGET_Model_ Mitigation,TARGET_Condition_Score_Level,RWY,Crit_Rests,CritConsSc,TARGET_Condition_Score,Condition_Score,TARGET_Condition_level,TARGET_RSL,FRM_NODE,TARGET_RSL_SCR,RSL_SCR,WPZ,INST_YR,New_Seg,Mat_Fact,HWY,ENVMT_SCR,TARGET_ACCESS_SCR,TotBrks,HEU,MATERIAL,OBJECTID,Operation_Cost,TotBrks_Lenght,R,QUALIT_SCR,Shape_Leng,Performanc_SCR,Active_Ope,DIA_SCR,f,TARGET_DIA_SCR,BRL_SCR_TARGET,TARGET_PAN,SOIL,INSTALL_DA,MATERIAL_CD,TARGET_MITIGATION_Score_Level,ST_DIR,ACCESS_SCR,LT_CARE,Airp_Serv,TARGET_Criticality_Score_Level,BRKS_FVYRS_SCR,BRK_Level,MITIGATION_Score_Level,REPLC_COST,TM,BRKS_FV_YRS_L,TO_NODE,LEN_M,TARGET_Performance_Level,TARGET_MITIGATION_Level_PAN,BRK_SCR,MI_Level,HPU,ESA,RSL_Level,ST_NAME,RSL,CITY,TARGET_QUALIT_SCR,MITIGATION_Level_PAN,ST_TYPE,OPSC,DRAINAGE
2,,38.4,NO,0,9,640,1,2,0,A,517698,Medium,Low,15,15,3,Moderately High,High,10,0,178.5,26,Moderately Low,0.26,5,400,1,0,4,TRSUB-TRANSMISSION MAIN,0.0588463829,LOCAL,0,,210,Moderately Low,0,121.14844,0,38,0,10.89,Polyline,105,0.130680424,,Very High,0,Fail (Pressure),2 (Low),384.836,280,5,28.12,602385,10,10,2,1979, ,0.5,1,15,9,38,0,DI,129,84.803908,0.156832395,6.54E-14,0,242.29688,150,YES,5,0.0333752697,7.5,7.35,668.336,C,01-01-1979,DI,RELINE - REHAB, ,15,0,0,Moderately High,5,Low,RELINE - REHAB,1576,No,0.1073063756,602548,242.29688,2,2,5,High,0,1,High,SOUTH SHERIDAN,18.5,MISSISSAUGA,0,2,WAY,2 (Low),I
2,,Pass,NO,0,9,640,0,2,0,A,517699,Medium,Low,15,15,3,Moderately High,Moderate,11,0,178.5,26,Moderately Low,0.26,5,400,0,0,4,TRSUB-TRANSMISSION MAIN,0.2441437775,LOCAL,0,,210,Moderately Low,0,502.624568,0,25,0,10.89,Polyline,105,0.542171171,,Very High,0,Pass,1 (Negligible),384.836,280,5,18.5,602548,10,10,2,1992, ,0.5,1,15,9,33,0,DI,130,351.8371976,0.032827683,2.71E-13,0,1005.249136,150,YES,5,0.0333752697,7.5,7.35,668.336,C,01-01-1992,DI,RELINE - REHAB, ,15,0,0,Moderately High,5,Low,RELINE - REHAB,1576,No,0.0258642351,602386,1005.249136,2,2,5,High,0,1,High,SOUTH SHERIDAN,25,MISSISSAUGA,0,2,WAY,1 (Negligible),I
2,,n/a - flow failure,NO,0,9,600,0,2,0,A,517908,Medium,Very High,10,15,3,Moderately High,Moderate,12,0,178.5,23,Moderately Low,0.26,5,400,0,0,4,TRSUB-TRANSMISSION MAIN,0.0104838646,ARTERIAL,0,,210,Moderately Low,0,21.58338,0,28,0,10.89,Polyline,105,0.023281565,,Moderately High,0,Fail (Flow),5 (Catastrophic) - Flow Failure,340.336,240,4,20.72,6564371,10,10,3,1989, ,0.5,0,15,9,25,0,DI,131,15.108366,0.5791493269,1.16E-14,0,43.16676,150,YES,5,0.0333752697,7.5,7.35,623.836,C,07-01-1989,DI,RELINE - REHAB, ,15,0,0,Moderately High,5,Very High,RELINE - REHAB,1576,No,0.5328173808,603052,43.16676,2,2,5,Medium,0,1,High,WINSTON CHURCHILL,23.5,MISSISSAUGA,0,2,BLVD,5 (Catastrophic) - Flow Failure,I
2,,38.9,NO,0,9,640,0,2,0,A,518556,Medium,Low,15,15,3,Moderately High,Moderate,13,0,178.5,6,Moderately Low,0.26,5,400,0,0,4,TRSUB-TRANSMISSION MAIN,0.1824486342,ARTERIAL,0,,210,Moderately Low,0,375.6113175,0,29,0,10.89,Polyline,105,0.405164492,,Very High,0,Fail (Pressure),2 (Low),384.836,280,5,21.46,603506,10,10,3,1988, ,0.5,0,15,9,12,0,DI,132,262.9279223,0.0159739596,2.03E-13,0,751.222635,150,YES,5,0.0333752697,7.5,7.35,668.336,C,04-01-1988,DI,RELINE - REHAB,W,15,0,0,Moderately High,5,Low,RELINE - REHAB,1576,No,0.0079869798,603507,751.222635,2,2,5,High,0,1,High,DUNDAS,23,MISSISSAUGA,0,2,ST,2 (Low),I
2,,38.9,NO,0,0,550,0,2,0,A,523235,Medium,Medium,15,15,3,Medium,Moderate,14,0,52.5,0,Moderately Low,0.26,5,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.091396485,COLLECTOR,0,,120,Moderately Low,0,188.160105,1,46,0,6,Polyline,105,0.20296458,,Moderately High,0,Fail (Pressure),2 (Low),296.815,280,4,34.04,594224,5,15,4,1971, ,0.5,0,15,0,11,0,DI,157,131.7120735,0.0292304259,1.02E-13,0,376.32021,150,YES,5,0.0333752697,7.5,7.35,454.315,CL,01-01-1971,DI,RELINE - REHAB, ,0,0,0,Very Low,0,Low,RELINE - REHAB,1576,No,0,607055,376.32021,2,2,5,High,0,0,Very High,MISSISSAUGA,14.5,MISSISSAUGA,0,2,RD,2 (Low),W
2,,38.9,NO,0,0,510,0,2,0,A,523235,Medium,Medium,15,15,3,Medium,Moderate,15,0,52.5,0,Moderately Low,0.26,5,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.091396485,COLLECTOR,0,,120,Moderately Low,0,188.160105,1,46,0,6,Polyline,105,0.20296458,,Medium,0,Fail (Pressure),2 (Low),284.8,240,3,34.04,594224,5,15,4,1971, ,0.5,0,15,0,0,0,DI,157,131.7120735,0,1.02E-13,0,376.32021,150,YES,5,0.0333752697,7.5,6,442.3,CL,01-01-1971,DI,RELINE - REHAB, ,0,0,0,Very Low,0,Medium,RELINE - REHAB,1576,No,0,607055,376.32021,2,2,0,High,0,0,Very High,MISSISSAUGA,14.5,MISSISSAUGA,0,2,RD,2 (Low),W
2,,38.2,NO,0,0,510,0,2,0,A,523237,Medium,Medium,5,15,3,Medium,Moderate,16,0,52.5,9,Moderately Low,0.26,5,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.0034813211,COLLECTOR,0,,120,Moderately Low,0,7.167078,1,46,0,10.89,Polyline,105,0.007730985,,Medium,0,Fail (Pressure),2 (Low),251.336,240,3,34.04,607056,5,15,4,1971, ,0.5,0,15,0,21,0,DI,158,5.0169546,1.465032193,3.87E-15,0,14.334156,150,YES,5,0.0333752697,7.5,7.35,408.836,CL,01-01-1971,DI,RELINE - REHAB, ,0,0,0,Very Low,5,Medium,RELINE - REHAB,1576,No,0.6278709399,607055,14.334156,2,2,5,Low,0,0,Very High,MISSISSAUGA,14.5,MISSISSAUGA,0,2,RD,2 (Low),W
4,,38.9,NO,0,0,590,0,2,0,A,523235,Moderately High,Medium,15,15,4,Medium,Moderate,17,0,52.5,2,Moderately Low,0.26,5,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.091396485,COLLECTOR,0,,120,Moderately Low,0,188.160105,1,46,0,10.89,Polyline,105,0.20296458,,Moderately High,0,Fail (Pressure),2 (Low),340.336,320,4,34.04,594224,5,15,4,1971, ,0.5,0,15,0,10,0,DI,157,131.7120735,0.0265731144,1.02E-13,0,376.32021,150,YES,5,0.0333752697,7.5,7.35,497.836,CL,01-01-1971,DI,RELINE - REHAB, ,0,0,0,Very Low,5,Medium,RELINE - REHAB,1576,No,0.0053146229,607055,376.32021,2,2,5,High,0,0,Very High,MISSISSAUGA,14.5,MISSISSAUGA,0,2,RD,2 (Low),W
2,,38.2,NO,0,9,600,0,2,0,A,523446,Medium,Low,10,15,3,Moderately High,Moderate,18,0,178.5,5,Moderately Low,0.26,5,400,0,0,4,TRSUB-TRANSMISSION MAIN,0.0051751759,ARTERIAL,0,,210,Moderately Low,0,10.654257,0,28,0,10.89,Polyline,105,0.011492536,,Moderately High,0,Fail (Pressure),2 (Low),340.336,240,4,20.72,607159,10,10,3,1989, ,0.5,0,15,9,14,0,DI,160,7.4579799,0.6570143746,5.75E-15,0,21.308514,150,YES,5,0.0333752697,7.5,7.35,623.836,CL,03-01-1985,DI,RELINE - REHAB,W,15,0,0,Moderately High,5,Low,RELINE - REHAB,1576,No,0.2346479909,607160,21.308514,2,2,5,Medium,0,1,High,EGLINTON,23.5,MISSISSAUGA,0,2,AVE,2 (Low),W
1,,39.5,NO,0,0,310,0,1,0,A,515672,Medium,Low,15,0,3,Very Low,High,19,0,52.5,9,Very Low,0.26,1,400,0,0,1,TRSUB-TRANSMISSION MAIN,0.3364627023,ARTERIAL,0,,30,Very Low,0,692.6837215,0,42,0,10.89,Polyline,0,0.747184217,,Moderately High,0,Fail (Pressure),2 (Low),340.336,280,4,31.08,608412,5,10,4,1975, ,0.5,0,0,0,23,0,DI,105,484.8786051,0.0166020936,3.74E-13,0,1385.367443,0,YES,5,0.0333752697,7.5,7.35,392.836,CL,01-01-1975,DI,RELINE - REHAB,W,0,0,0,Very Low,5,Low,RELINE - REHAB,1576,No,0.0064964714,594287,1385.367443,1,2,5,High,0,0,High,BRITANNIA,16.5,MISSISSAUGA,0,2,RD,2 (Low),P
