FID,condition_model,Criticality_SCR,Condition_Score,criticality_model
2539,160,120,160,120
2540,280,120,280,120
2541,400,30,400,30
2542,400,30,400,30
2543,240,30,240,30
2544,240,30,240,30
2545,240,30,240,30
2546,240,30,240,30
2547,240,30,240,30
2548,240,30,240,30
2549,160,30,160,30
2550,240,30,240,30
2551,200,30,200,30
2552,160,30,160,30
2553,280,210,280,210
2554,320,210,320,210
2555,160,30,160,30
2556,200,30,200,30
2557,200,30,200,30
2558,160,210,160,210
2559,160,210,160,210
2560,160,210,160,210
2561,160,120,160,120
2562,160,120,160,120
2563,160,30,160,30
2564,240,30,240,30
2565,160,120,160,120
2566,160,120,160,120
2567,160,120,160,120
2568,240,210,240,210
2569,160,210,160,210
2570,200,120,200,120
2571,200,30,200,30
2572,200,30,200,30
2573,200,120,200,120
2574,280,120,280,120
2575,160,120,160,120
2576,160,30,160,30
2577,160,30,160,30
2578,160,30,160,30
2579,200,210,200,210
2580,240,120,240,120
2581,240,30,240,30
2582,200,210,200,210
2583,200,210,200,210
2584,240,30,240,30
2585,280,30,280,30
2586,200,30,200,30
2587,240,30,240,30
2588,240,30,240,30
2589,120,210,120,210
2590,120,210,120,210
2591,160,30,160,30
2592,120,30,120,30
2593,160,30,160,30
2594,320,30,320,30
2595,160,210,160,210
2596,120,210,120,210
2597,200,30,200,30
2598,200,30,200,30
2599,120,120,120,120
2600,160,120,160,120
2601,240,30,240,30
2602,200,30,200,30
2603,120,120,120,120
2604,120,120,120,120
2605,120,120,120,120
2606,120,120,120,120
2607,120,120,120,120
2608,360,30,360,30
2609,200,30,200,30
2610,240,30,240,30
2611,200,30,200,30
2612,160,120,160,120
2613,200,120,200,120
2614,120,210,120,210
2615,200,210,200,210
2616,200,210,200,210
2617,160,120,160,120
2618,120,210,120,210
2619,120,210,120,210
2620,200,210,200,210
2621,200,210,200,210
2622,160,30,160,30
2623,240,30,240,30
2624,200,30,200,30
2625,280,30,280,30
2626,200,30,200,30
2627,160,30,160,30
2628,200,30,200,30
2629,120,120,120,120
2630,200,180,200,180
2631,160,180,160,180
2632,160,180,160,180
2633,320,180,320,180
2634,240,180,240,180
2635,160,180,160,180
2636,160,240,160,240
2637,200,240,200,240
2638,160,240,160,240
2639,160,180,160,180
2640,400,180,400,180
2641,200,180,200,180
2642,240,270,240,270
2643,240,270,240,270
2644,200,180,200,180
2645,200,270,200,270
2646,200,270,200,270
2647,240,180,240,180
2648,160,180,160,180
2649,160,180,160,180
2650,160,180,160,180
2651,240,180,240,180
2652,280,180,280,180
2653,200,180,200,180
2654,200,180,200,180
2655,280,180,280,180
2656,200,180,200,180
2657,160,180,160,180
2658,160,180,160,180
2659,320,180,320,180
2660,320,180,320,180
2661,320,240,320,240
2662,400,60,400,60
2663,240,270,240,270
2664,280,60,280,60
2665,160,180,160,180
2666,120,180,120,180
2667,160,180,160,180
2668,120,180,120,180
2669,120,180,120,180
2670,280,180,280,180
2671,120,180,120,180
2672,120,180,120,180
2673,120,180,120,180
2674,120,180,120,180
2675,120,180,120,180
2676,120,180,120,180
2677,160,180,160,180
2678,400,60,400,60
2679,240,270,240,270
2680,240,270,240,270
2681,240,270,240,270
2682,200,180,200,180
2683,240,180,240,180
2684,320,180,320,180
2685,280,180,280,180
2686,240,180,240,180
2687,240,180,240,180
2688,160,180,160,180
2689,160,180,160,180
2690,160,270,160,270
2691,160,180,160,180
2692,160,270,160,270
2693,320,270,320,270
2694,160,270,160,270
2695,160,270,160,270
2696,160,270,160,270
2697,160,270,160,270
2698,200,180,200,180
2699,320,180,320,180
2700,200,180,200,180
2701,200,180,200,180
2702,80,180,80,180
2703,240,180,240,180
2704,160,180,160,180
2705,160,180,160,180
2706,240,180,240,180
2707,160,180,160,180
2708,240,180,240,180
2709,200,180,200,180
2710,160,180,160,180
2711,160,180,160,180
2712,160,180,160,180
2713,240,180,240,180
2714,160,180,160,180
2715,160,180,160,180
2716,320,180,320,180
2717,160,270,160,270
2718,200,270,200,270
2719,200,270,200,270
2720,160,180,160,180
2721,240,180,240,180
2722,160,180,160,180
2723,160,180,160,180
2724,280,180,280,180
2725,240,180,240,180
2726,200,180,200,180
2727,240,180,240,180
2728,200,180,200,180
2729,200,180,200,180
2730,320,180,320,180
2731,200,180,200,180
2732,280,180,280,180
2733,240,180,240,180
2734,80,180,80,180
2735,160,180,160,180
2736,160,180,160,180
2737,200,270,200,270
2738,160,270,160,270
2739,400,270,400,270
2740,160,270,160,270
2741,160,270,160,270
2742,200,270,200,270
2743,160,270,160,270
2744,200,270,200,270
2745,160,270,160,270
2746,240,270,240,270
2747,200,270,200,270
2748,240,270,240,270
2749,200,270,200,270
2750,200,270,200,270
2751,200,270,200,270
2752,280,270,280,270
2753,80,270,80,270
2754,240,270,240,270
2755,160,270,160,270
2756,160,270,160,270
2757,120,270,120,270
2758,200,270,200,270
2759,200,270,200,270
2760,120,270,120,270
2761,200,270,200,270
2762,120,270,120,270
2763,120,270,120,270
2764,160,270,160,270
2765,160,270,160,270
2766,160,270,160,270
2767,240,120,240,120
2768,240,120,240,120
2769,240,120,240,120
2770,240,30,240,30
2771,240,120,240,120
2772,320,30,320,30
2773,240,30,240,30
2774,240,30,240,30
2775,240,120,240,120
2776,240,120,240,120
2777,200,30,200,30
2778,240,30,240,30
2779,240,30,240,30
2780,440,30,440,30
2781,240,30,240,30
2782,240,270,240,270
2783,160,270,160,270
2784,120,270,120,270
2785,160,270,160,270
2786,160,270,160,270
2787,160,270,160,270
2788,240,270,240,270
2789,200,270,200,270
2790,320,0,320,0
2791,320,0,320,0
2792,120,270,120,270
2793,120,270,120,270
2794,240,270,240,270
2795,120,270,120,270
2796,120,270,120,270
2797,120,270,120,270
2798,120,270,120,270
2799,120,270,120,270
2800,160,270,160,270
2801,240,270,240,270
2802,240,30,240,30
2803,160,180,160,180
2804,240,210,240,210
2805,240,210,240,210
2806,160,180,160,180
2807,120,180,120,180
2808,160,270,160,270
2809,120,270,120,270
2810,120,180,120,180
2811,120,180,120,180
2812,120,270,120,270
2813,200,180,200,180
2814,160,30,160,30
2815,280,210,280,210
2816,160,210,160,210
2817,200,210,200,210
2818,280,270,280,270
2819,320,180,320,180
2820,160,270,160,270
2821,280,270,280,270
2822,200,30,200,30
2823,280,270,280,270
2824,200,270,200,270
2825,120,270,120,270
2826,120,270,120,270
2827,360,30,360,30
2828,280,30,280,30
2829,280,30,280,30
2830,240,30,240,30
2831,320,30,320,30
2832,400,180,400,180
