FID,TARGET_Performance_Level,performance_pred,TARGET_Criticality_Level,criticality_pred,condition_pred,TARGET_Condition_level,TARGET_MITIGATION_Level_PAN,mitigation_pred
14796,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
18234,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0
6059,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
6058,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0
6055,3.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0
6054,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0
6057,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0
6056,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
6051,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
6050,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
6053,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
6052,2.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0
10004,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
10005,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
10006,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
10007,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
10000,5.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0
10001,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10002,5.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0
10003,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
10008,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10009,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
16043,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
5379,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
5378,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1078,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1079,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
5375,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
1077,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0
1074,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1075,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
1072,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
5370,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
1070,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0
5372,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0
23291,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
17858,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
17859,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
17856,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
17857,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
17854,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
17855,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
17852,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
17853,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
17850,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
17851,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
15988,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
15989,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
15986,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
15987,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
15984,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
15985,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
15982,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
