@relation untitled
@attribute string
@attribute CritPres2D real
@attribute BRKS_FVYRS_SCR real
@attribute WL real
@attribute PAN real
@attribute WTR real
@attribute Performance_Level string
@attribute Hosp_Serv real
@attribute INFRA_STAT string
@attribute HANSEN_COM real
@attribute Condition_Score_Level string
@attribute BRKS_FVYRS_Level string
@attribute MI_SCR real
@attribute STANDARD_CONFOR real
@attribute RiskThresh string
@attribute FID real
@attribute TRANS real
@attribute BRKS_FVYRS real
@attribute Criticality_Level string
@attribute DIAMETER real
@attribute FLP real
@attribute Hospital real
@attribute Source string
@attribute HL real
@attribute ST_CLASS string
@attribute HDL real
@attribute Criticality_SCR real
@attribute HEAD_LOSS_SCR real
@attribute Maintenance_Cost real
@attribute School real
@attribute MITIGATION_Level string
@attribute Age real
@attribute Shape_* string
@attribute MI real
@attribute RWY real
@attribute Crit_Rests string
@attribute CritConsSc string
@attribute Condition_Score real
@attribute FRM_NODE real
@attribute Med_Centre real
@attribute RSL_SCR real
@attribute WPZ real
@attribute INST_YR real
@attribute New_Seg string
@attribute Mat_Fact real
@attribute HWY real
@attribute ENVMT_SCR real
@attribute TotBrks real
@attribute HEU real
@attribute MATERIAL string
@attribute OBJECTID real
@attribute _Normalized_Quality_-_test_result_Score real
@attribute Operation_Cost real
@attribute TotBrks_Lenght real
@attribute R real
@attribute QUALIT_SCR real
@attribute Shape_Leng real
@attribute Performanc_SCR real
@attribute Active_Ope string
@attribute DIA_SCR real
@attribute f real
@attribute SOIL string
@attribute INSTALL_DA string
@attribute MATERIAL_CD string
@attribute ST_DIR string
@attribute ACCESS_SCR real
@attribute LT_CARE real
@attribute Airp_Serv real
@attribute Tran_main string
@attribute BRK_Level string
@attribute REPLC_COST real
@attribute TM string
@attribute BRKS_FV_YRS_L real
@attribute TO_NODE real
@attribute LEN_M real
@attribute BRK_SCR real
@attribute MI_Level string
@attribute HPU real
@attribute ESA real
@attribute RSL_Level string
@attribute ST_NAME string
@attribute RSL real
@attribute CITY string
@attribute ST_TYPE string
@attribute OPSC string
@attribute DRAINAGE string
@data
'',36.8,0.0,0.0,670.0,0.0,'Moderately_High',0.0,'A',513574.0,'Moderately_Low','Low',15.0,15.0,'Moderate',568.0,0.0,77.0,'Moderately_High',600.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.023010479,'COLLECTOR',0.0,210.0,15.0,407.521072,1.0,'REPLACE_IN_FUTURE',31.0,'Polyline',0.325098931,1.0,'Fail_(Pressure)','2_(Low)',160.0,607184.0,0.0,5.0,3.0,1986.0,'',1.0,0.0,15.0,79.0,0.0,'CPP',2264.0,0.0,285.2647504,9.692750317,2.56e-14,0.0,815.042144,300.0,'YES',5.0,0.029461491,'CL','1/1/1986','CPP','W',15.0,0.0,0.0,'NO','Low',2131.0,'No',9.447364233,594581.0,815.042144,0.0,'High',0.0,1.0,'Medium','EGLINTON',44.0,'MISSISSAUGA','AVE','2_(Low)','P'
'',37.9,0.0,0.0,340.0,0.0,'Moderately_Low',0.0,'A',512211.0,'Moderately_Low','Low',15.0,0.0,'Moderate',2537.0,0.0,63.0,'Very_Low',600.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.042767232,'ARTERIAL',0.0,30.0,15.0,757.417885,0.0,'MONITOR',33.0,'Polyline',0.604228252,0.0,'Fail_(Pressure)','2_(Low)',160.0,598370.0,0.0,5.0,5.0,1984.0,'',1.0,0.0,0.0,65.0,0.0,'CPP',2227.0,0.0,530.1925195,4.290894187,4.75e-14,0.0,1514.83577,150.0,'YES',5.0,0.029461491,'C','1/1/1984','CPP','',0.0,0.0,0.0,'NO','Low',2131.0,'No',4.158866674,598269.0,1514.83577,0.0,'High',0.0,0.0,'Medium','NORTH_PARK',42.0,'BRAMPTON','DR','2_(Low)','I'
'',38.8,5.0,0.0,600.0,1.0,'Moderately_Low',0.0,'A',516526.0,'Medium','Medium',15.0,15.0,'Moderate',2176.0,0.0,110.0,'Moderately_High',400.0,1.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.177789833,'LOCAL',0.0,210.0,0.0,366.020133,0.0,'RELINE_-_REHAB',43.0,'Polyline',0.394818671,0.0,'Fail_(Pressure)','2_(Low)',240.0,600698.0,0.0,5.0,4.0,1974.0,'',1.0,1.0,15.0,136.0,0.0,'CPP',705.0,0.0,256.2140931,18.57821302,1.98e-13,0.0,732.040266,150.0,'YES',5.0,0.03337527,'C','1/1/1974','CPP','',15.0,0.0,0.0,'NO','Medium',1576.0,'No',15.02649582,607455.0,732.040266,5.0,'High',0.0,1.0,'Medium','DREW',32.0,'MISSISSAUGA','RD','2_(Low)','I'
'',36.7,0.0,0.0,520.0,0.0,'Moderately_Low',0.0,'A',523594.0,'Moderately_Low','Low',15.0,15.0,'Moderate',1307.0,0.0,30.0,'Moderately_High',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.168217094,'COLLECTOR',1.0,210.0,0.0,346.31251,0.0,'RELINE_-_REHAB',34.0,'Polyline',0.373560449,0.0,'Fail_(Pressure)','2_(Low)',160.0,607230.0,0.0,5.0,2.0,1983.0,'',1.0,0.0,15.0,38.0,1.0,'CPP',962.0,0.0,242.418757,5.486374142,1.87e-13,0.0,692.62502,150.0,'YES',5.0,0.03337527,'CL','1/1/1983','CPP','',15.0,0.0,0.0,'NO','Low',1576.0,'No',4.331348007,605846.0,692.62502,0.0,'High',0.0,1.0,'Medium','CAWTHRA',41.0,'MISSISSAUGA','RD','2_(Low)','I'
'',38.3,10.0,0.0,640.0,0.0,'Moderately_Low',0.0,'A',802556.0,'Medium','Low',15.0,15.0,'Low',2815.0,0.0,29.0,'Moderately_High',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.027771675,'ARTERIAL',0.0,210.0,0.0,57.1742045,0.0,'REPLACE_IN_FUTURE',20.0,'Polyline',0.061672683,0.0,'Fail_(Pressure)','2_(Low)',280.0,0.0,0.0,0.0,4.0,1997.0,'',1.0,1.0,15.0,36.0,0.0,'CPPI',1772.0,0.0,40.02194315,31.48272924,3.09e-14,0.0,114.348409,150.0,'YES',5.0,0.03337527,'C','1/4/1997','CPP','',15.0,0.0,0.0,'NO','Low',1576.0,'No',25.36108745,6571722.0,114.348409,10.0,'High',0.0,1.0,'Low','TORBRAM',55.0,'BRAMPTON','RD','2_(Low)','I'
'',38.6,0.0,0.0,190.0,0.0,'Very_Low',0.0,'A',516134.0,'Moderately_Low','Low',15.0,0.0,'Moderate',493.0,0.0,25.0,'Very_Low',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.291009714,'LOCAL',0.0,30.0,0.0,599.1085795,0.0,'DO_NOTHING',30.0,'Polyline',0.646246564,0.0,'Fail_(Pressure)','2_(Low)',160.0,1600579.0,0.0,5.0,4.0,1987.0,'',1.0,0.0,0.0,80.0,0.0,'CPP3',694.0,0.0,419.3760057,6.676586076,3.23e-13,0.0,1198.217159,0.0,'YES',5.0,0.03337527,'CL','1/1/1987','CPP','',0.0,0.0,0.0,'NO','Low',1576.0,'No',2.086433149,600573.0,1198.217159,0.0,'High',0.0,0.0,'Medium','EDWARDS',45.0,'MISSISSAUGA','BLVD','4_(Severe)','I'
'',0.0,0.0,0.0,190.0,0.0,'Very_Low',0.0,'A',511226.0,'Moderately_Low','Low',15.0,0.0,'Moderate',3124.0,0.0,83.0,'Very_Low',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.357024971,'COLLECTOR',0.0,30.0,0.0,735.015751,0.0,'DO_NOTHING',32.0,'Polyline',0.79284694,1.0,'Not_Balanced','5_(Catastrophic)_-_Not_Balanced',160.0,3599402.0,0.0,5.0,5.0,1985.0,'',1.0,0.0,0.0,124.0,0.0,'CPP3',504.0,0.0,514.5110257,8.435193384,3.97e-13,0.0,1470.031502,0.0,'YES',5.0,0.03337527,'CL','1/1/1985','CPP','',0.0,0.0,0.0,'NO','Low',1576.0,'No',5.646137507,599866.0,1470.031502,0.0,'High',0.0,0.0,'Medium','ROSEBUD',43.0,'BRAMPTON','AVE','5_(Catastrophic)_-_Not_Balanced','I'
'',38.9,5.0,0.0,900.0,0.0,'Very_High',0.0,'A',521964.0,'Medium','Medium',5.0,15.0,'High',1059.0,0.0,2.0,'Moderately_High',600.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.000364211,'COLLECTOR',0.0,210.0,15.0,6.4502575,0.0,'REPLACE_NOW',67.0,'Polyline',0.005145677,0.0,'Fail_(Pressure)','2_(Low)',240.0,605235.0,0.0,15.0,2.0,1950.0,'',0.3,0.0,15.0,2.0,0.0,'CI',284.0,1.0,4.51518025,15.50325704,4.05e-16,15.0,12.900515,450.0,'YES',5.0,0.029461491,'CL','1/1/1950','CI','',15.0,0.0,0.0,'NO','Medium',2131.0,'No',15.50325704,604912.0,12.900515,5.0,'Low',0.0,1.0,'Very_High','CARLANNE',2.4,'MISSISSAUGA','CT','2_(Low)','P'
'',37.4,5.0,0.0,650.0,0.0,'Moderately_Low',0.0,'A',780948.0,'Moderately_High','Medium',15.0,15.0,'Low',3728.0,0.0,102.0,'Moderately_High',300.0,0.0,0.0,'DISTRIBUTION_MAIN_-_SMALL_DIAMETER',0.614539002,'LOCAL',0.0,180.0,0.0,273.4398835,0.0,'REPLACE_IN_FUTURE',18.0,'Polyline',0.396966526,0.0,'Fail_(Pressure)','2_(Low)',320.0,608834.0,0.0,15.0,7.0,1999.0,'',0.1,0.0,15.0,123.0,0.0,'PVC',3458.0,0.0,191.4079185,22.49123252,6.83e-13,0.0,546.879767,150.0,'YES',0.0,0.03664517,'CL','30-12-1899','PVC','',15.0,0.0,0.0,'NO','Medium',1171.0,'No',18.65126599,6567061.0,546.879767,5.0,'High',0.0,1.0,'Very_High','SUMMER_VALLEY',5.7,'BRAMPTON','DR','2_(Low)','I'
'',37.1,0.0,0.0,150.0,0.0,'Very_Low',0.0,'A',702305.0,'Moderately_Low','Low',15.0,0.0,'Low',2315.0,0.0,16.0,'Very_Low',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.183811646,'LOCAL',0.0,30.0,0.0,378.4173825,0.0,'DO_NOTHING',15.0,'Polyline',0.408191339,0.0,'Fail_(Pressure)','2_(Low)',120.0,6541588.0,0.0,0.0,5.0,2002.0,'',1.0,0.0,0.0,25.0,0.0,'CPP',1354.0,0.0,264.8921678,3.303230924,2.04e-13,0.0,756.834765,0.0,'YES',5.0,0.03337527,'C','1/6/2002','CPP','S',0.0,0.0,0.0,'NO','Low',1576.0,'No',2.114067791,6541592.0,756.834765,0.0,'High',0.0,0.0,'Low','KENNEDY',60.0,'BRAMPTON','RD','2_(Low)','I'
'',39.0,5.0,0.0,710.0,0.0,'Moderately_High',0.0,'A',799966.0,'Medium','Medium',15.0,15.0,'Moderate',3546.0,1.0,114.0,'Moderately_High',600.0,0.0,0.0,'RATRANSMISSION_MAIN',0.024073747,'LOCAL',0.0,210.0,15.0,426.351809,0.0,'REPLACE_IN_FUTURE',8.0,'Polyline',0.340121105,0.0,'Fail_(Pressure)','2_(Low)',200.0,6571177.0,0.0,0.0,7.0,2009.0,'',1.0,1.0,15.0,119.0,0.0,'CPP',2677.0,0.0,298.4462663,13.95561101,2.67e-14,0.0,852.703618,300.0,'YES',5.0,0.029461491,'CL','31-08-2009','CPP','',15.0,0.0,0.0,'YES','Medium',2131.0,'No',13.3692408,6571248.0,852.703618,5.0,'High',0.0,1.0,'Low','KENNEDY',67.0,'BRAMPTON','RD','2_(Low)','I'
'',38.8,0.0,0.0,630.0,1.0,'Moderately_High',0.0,'',0.0,'Moderately_Low','Low',15.0,15.0,'Moderate',3989.0,1.0,2.0,'Moderately_High',600.0,0.0,0.0,'2012_COMP_Linear',0.013075355,'LOCAL',0.0,210.0,15.0,231.567649,0.0,'REPLACE_IN_FUTURE',7.0,'Polyline',0.184732522,0.0,'Fail_(Pressure)','2_(Low)',120.0,0.0,0.0,0.0,7.0,2010.0,'',1.0,1.0,15.0,24.0,0.0,'CPP',4305.0,0.0,162.0973543,5.182071007,1.45e-14,0.0,463.135298,300.0,'YES',5.0,0.029461491,'CL','30-12-1899','CPP','',15.0,0.0,0.0,'YES','Low',2131.0,'No',0.431839251,0.0,463.135298,0.0,'High',0.0,0.0,'Low','MAYFIELD',68.0,'CALEDON','RD','2_(Low)','VP'
'',38.7,0.0,0.0,510.0,1.0,'Moderately_Low',0.0,'A',507834.0,'Medium','Low',15.0,15.0,'Moderate',3012.0,0.0,36.0,'Medium',400.0,1.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.180795055,'COLLECTOR',0.0,120.0,0.0,372.207055,0.0,'RELINE_-_REHAB',25.0,'Polyline',0.401492382,0.0,'Fail_(Pressure)','2_(Low)',240.0,599179.0,0.0,10.0,6.0,1992.0,'',0.5,0.0,15.0,137.0,0.0,'DI',20.0,0.0,260.5449385,18.40373499,2.01e-13,0.0,744.41411,150.0,'YES',5.0,0.03337527,'CL','1/1/1992','DI','',0.0,0.0,0.0,'NO','Medium',1576.0,'No',4.836017952,599637.0,744.41411,5.0,'High',0.0,0.0,'High','BOVAIRD',25.0,'BRAMPTON','DR','2_(Low)','I'
'',37.2,0.0,0.0,520.0,0.0,'Moderately_Low',0.0,'A',523499.0,'Moderately_Low','Low',15.0,15.0,'Moderate',258.0,0.0,40.0,'Moderately_High',400.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.382887581,'ARTERIAL',0.0,210.0,0.0,788.259717,1.0,'RELINE_-_REHAB',36.0,'Polyline',0.850280152,0.0,'Fail_(Pressure)','2_(Low)',160.0,606905.0,0.0,5.0,3.0,1981.0,'',1.0,0.0,15.0,95.0,0.0,'CPP',952.0,0.0,551.7818019,6.025932694,4.25e-13,0.0,1576.519434,150.0,'YES',5.0,0.03337527,'CL','1/1/1981','CPP','W',15.0,0.0,0.0,'NO','Low',1576.0,'No',2.537234819,607177.0,1576.519434,0.0,'High',0.0,1.0,'Medium','BURNHAMTHORPE',39.0,'MISSISSAUGA','RD','2_(Low)','P'
'',38.4,5.0,0.0,610.0,0.0,'Moderately_Low',0.0,'A',515981.0,'Medium','Medium',10.0,15.0,'Low',2836.0,0.0,3.0,'Moderately_High',300.0,0.0,0.0,'ISDISTRIBUTION_MAIN_-_SMALL_DIAMETE',0.031573818,'ARTERIAL',0.0,180.0,0.0,14.048809,0.0,'REPLACE_IN_FUTURE',50.0,'Polyline',0.020395368,0.0,'Fail_(Pressure)','2_(Low)',280.0,592775.0,0.0,15.0,4.0,1967.0,'',0.5,0.0,15.0,6.0,0.0,'DI',3670.0,0.0,9.8341663,21.35412333,3.51e-14,0.0,28.097618,150.0,'YES',0.0,0.03664517,'C','1/0/1900_0:00','DI','',15.0,0.0,0.0,'NO','Medium',1171.0,'No',10.67706166,592776.0,28.097618,5.0,'Medium',0.0,1.0,'Very_High','DERRY_RD_E',12.5,'MISSISSAUGA','','2_(Low)','P'
'',39.1,0.0,0.0,380.0,0.0,'Moderately_Low',0.0,'A',771392.0,'Medium','Low',15.0,0.0,'Low',703.0,0.0,28.0,'Very_Low',600.0,0.0,0.0,'TRSUB-TRANSMISSION_MAIN',0.016455126,'LOCAL',0.0,30.0,15.0,291.4242145,0.0,'MONITOR',39.0,'Polyline',0.232482949,0.0,'Fail_(Pressure)','2_(Low)',200.0,6525624.0,0.0,5.0,4.0,1978.0,'',1.0,0.0,0.0,73.0,0.0,'CPP',2620.0,0.0,203.9969502,12.52469705,1.83e-14,0.0,582.848429,150.0,'YES',5.0,0.029461491,'CL','1/1/1978','CPP','',0.0,0.0,0.0,'NO','Medium',2131.0,'No',4.80399339,6566305.0,582.848429,5.0,'High',0.0,0.0,'Medium','WINSTON_CHURCHILL',36.0,'MISSISSAUGA','BLVD','2_(Low)','W'
'',38.8,0.0,0.0,690.0,0.0,'Moderately_High',0.0,'A',523813.0,'Moderately_Low','Low',15.0,15.0,'Moderate',1813.0,1.0,1.0,'Very_High',900.0,0.0,0.0,'RATRANSMISSION_MAIN',0.004074511,'LOCAL',0.0,270.0,15.0,616.233545,0.0,'REPLACE_IN_FUTURE',5.0,'Polyline',0.495083661,0.0,'Fail_(Pressure)','2_(Low)',120.0,603661.0,0.0,0.0,1.0,2012.0,'',1.0,0.0,15.0,5.0,0.0,'TMCPP',3589.0,0.0,431.3634815,0.405690346,4.53e-15,0.0,1232.46709,300.0,'YES',15.0,0.026197846,'SL','1/1/1965','CPP','',15.0,0.0,0.0,'YES','Low',2116.0,'Yes',0.081138069,608335.0,1232.46709,0.0,'High',0.0,1.0,'Low','NORTH_SERVICE',70.0,'MISSISSAUGA','RD','2_(Low)','I'
