var,grade,bounds
hc1,0,0,0,1,1.75
hc1,15,1,1.5,2.25,2.75
hc1,30,2,2.5,3.5,inf
hc2,0,0,0,1,2.25
hc2,15,1,2,4,5.5
hc2,30,4,5,6,inf
qy,0,0,0,0.5
qy,15,14.5,15,15.5
out,1,0,0,1.75
out,2,0,1.75,3.25
out,3,1.75,3.25,5
out,4,3.25,5,6.5
out,5,5,6.5,8
out,6,6.5,8,10
out,7,8,10,inf
